"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"a2-omdat","A2","Giving a reason with omdat","Conjunctions","Give a reason with omdat and put a single finite verb at the end of its clause.","Build the first subordinate-clause pattern and contrast it with want.","Omdat introduces a subordinate clause giving a reason. A subordinate clause is a clause attached to another clause; its verb pattern differs from a main clause. With one verb, put that verb at the end: ik blijf thuis omdat ik ziek ben. The subject still normally comes near the start after omdat.

Want gives a reason with main-clause order instead: ik blijf thuis, want ik ben ziek. The two connectors can express a similar reason, but their word orders are not interchangeable.

Keep the omdat clause after the main clause for this first step. Later lessons put it first and add two-verb groups. A comma can help readability, but punctuation does not change the verb pattern.","After omdat, a clause with one verb places its finite verb at the end; after want, keep main-clause verb-second order.","Ik blijf thuis omdat ik ziek ben.","I am staying home because I am ill.","We nemen de bus omdat het regent.","We are taking the bus because it is raining.","Use 'omdat ik ziek ben', not 'omdat ik ben ziek'. The finite verb closes this subordinate clause.","The word order with two verbs is introduced after the participle lessons; this lesson deliberately uses one verb per subordinate clause.","43","5","false"
"a2-dat-clauses","A2","Reporting an idea with dat","Conjunctions","Report a thought, belief or piece of knowledge with a dat clause.","Attach the content of an idea to verbs such as denken and weten.","Dat can introduce the content of a thought or statement: ik denk dat hij thuis is. Here dat means that and is a conjunction, not the demonstrative in dat huis. The dat clause uses subordinate word order, so a single finite verb comes at the end.

Useful openings include ik denk dat, ik weet dat, zij zegt dat and we hopen dat. Each clause has its own subject and verb. English sometimes omits that, but keeping dat is the clear Dutch pattern to learn here.

This lesson concerns simple present content: what someone thinks or says now. It does not teach a mechanical English-style sequence-of-tenses rule. Choosing tenses in a longer report depends on when the events are true.","Use dat to introduce the content after denken, weten or zeggen, and put the subordinate clause's single finite verb last.","Ik denk dat de winkel open is.","I think that the shop is open.","Zij zegt dat haar broer in Delft woont.","She says that her brother lives in Delft.","Write 'dat de winkel open is', not 'dat de winkel is open'.","Advanced reported speech and tense shifts are reserved for later study.","44","4","false"
"a2-als-wanneer","A2","Using als and wanneer","Conjunctions","Use als or wanneer for conditions and repeated or future times.","Connect an action to a situation using subordinate-clause order.","Als can mean if for a condition or when for a repeated or future situation: ik neem een jas mee als het koud is. Wanneer often focuses on when something happens and can introduce a similar time clause. The context decides whether a situation is uncertain or expected.

Both introduce subordinate word order: a single finite verb comes at the end. For a normal future condition, Dutch can use the present in both clauses: we gaan wandelen als het droog is. You do not need zullen merely because the walk is in the future.

Use this lesson for general, repeated or future situations. A single event at a particular time in the past normally uses toen, introduced with the simple past. An indirect question about when something happens is a separate A2 lesson.","Use als for a condition or repeated/future time and wanneer for a time connection, with subordinate verb-final order.","We gaan wandelen als het droog is.","We will go for a walk if it is dry.","Ik bel je wanneer ik thuis ben.","I will call you when I am home.","Say 'als het droog is', not 'als het is droog'. A future meaning does not remove subordinate-clause order.","Als and wanneer overlap in many time clauses; they are not a universal one-to-one equivalent of English if and when.","45","4","false"
"a2-fronted-subclauses","A2","Putting a subordinate clause first","Word Order","Start with a subordinate clause and invert the following main clause correctly.","Treat a whole opening clause as the first position of the main sentence.","A reason or time clause can come first: omdat ik ziek ben, blijf ik thuis. Inside the opening clause, keep subordinate order. After it, the main finite verb comes before its subject. The entire opening clause occupies the first position, however many words it contains.

Compare ik blijf thuis omdat ik ziek ben with omdat ik ziek ben, blijf ik thuis. The meaning is similar, but the starting point of the message changes. A comma helps show the boundary between the two clauses.

Apply the same pattern with als or wanneer: als de les begint, zet ik mijn telefoon uit. Do not count the individual words in the subordinate clause when applying the verb-second rule.","An opening subordinate clause fills position one; follow it with the main finite verb and then the main subject.","Omdat ik ziek ben, blijf ik thuis.","Because I am ill, I am staying home.","Als het regent, nemen we de bus.","If it rains, we will take the bus.","Write 'Als het regent, nemen we ...', not 'Als het regent, we nemen ...'.","This is the same inversion principle as morgen ga ik, now with a whole clause in the opening position.","46","5","false"
"a2-terwijl-voordat","A2","Linking actions with terwijl and voordat","Conjunctions","Link simultaneous actions with terwijl and an earlier action with voordat.","Express while and before using two clearly ordered clauses.","Terwijl often means while and connects actions happening at the same time: ik kook terwijl jij de tafel dekt. Voordat means before: ik was mijn handen voordat ik eet. Both introduce subordinate clauses with the finite verb at the end.

Either clause can open the sentence. If the subordinate clause comes first, invert the main clause: voordat ik eet, was ik mijn handen. Here was is the present of wassen, not the past of zijn; context and the rest of the phrase identify the verb.

Keep both clauses in the present while practising their relationship. Later you can combine the connectors with past forms. Terwijl can also express a contrast, but simultaneous actions are the productive focus here.","Use terwijl for simultaneous actions and voordat for before; both take subordinate order and trigger inversion when their clause comes first.","Ik kook terwijl jij de tafel dekt.","I cook while you set the table.","Voordat ik eet, was ik mijn handen.","Before I eat, I wash my hands.","Voordat introduces the later event in 'Ik was mijn handen voordat ik eet': washing happens before eating, not after it.","Nadat is taught separately once perfect-tense subordinate clauses are available.","47","4","false"
"a2-perfect-auxiliaries","A2","Choosing hebben or zijn by meaning","Perfect Tense","Choose hebben or zijn for common activity, directed-motion and change-of-state meanings.","Extend memorised perfect forms by comparing different uses of the same movement verb.","Many actions use hebben, especially with a direct object: ik heb de deur geopend. Common changes of state and arrival or departure verbs use zijn: het is begonnen; zij is aangekomen. Learn the auxiliary with the meaning of the verb rather than from a translation alone.

Some movement verbs allow both auxiliaries. Hebben can present an activity or duration: ik heb een uur gefietst. Zijn can present movement towards a destination: ik ben naar huis gefietst. This is not permission to use either auxiliary with every movement verb; gaan and komen normally use zijn in these ordinary meanings.

A direct object often signals hebben, but fixed combinations and special meanings still need checking. Practise common contrasts and consult a dictionary for an unfamiliar verb.","Use hebben for many activities and zijn for many directed movements or changes of state; learn the auxiliary for the verb's particular meaning.","Ik heb een uur gefietst.","I cycled for an hour.","Ik ben naar huis gefietst.","I cycled home.","Do not choose zijn just because an action involves movement: 'Ik heb een uur gefietst' focuses on the activity.","Verbs such as vergeten can change auxiliary with meaning or usage. They should be learned as separate combinations rather than forced into one rule.","48","5","false"
"a2-participle-prefixes","A2","Recognising participles with and without ge-","Perfect Tense","Recognise inseparable prefixes and distinguish them from ordinary verbs ending in -eren.","Choose whether a participle needs ge and check its final spelling separately.","Verbs with an unstressed inseparable prefix such as be-, ge-, her-, ont- or ver- usually do not add another ge- in the participle: betalen-betaald, geloven-geloofd, herkennen-herkend, ontmoeten-ontmoet and vertellen-verteld. Some base verbs are irregular: begrijpen becomes begrepen. Prefix position and the participle ending are separate decisions.

A separable prefix behaves differently: opbellen becomes opgebeld. Learn prefix stress and separability with the verb; not every word beginning with the same letters has the same structure.

An ending in -eren does not itself remove ge in Dutch. Studeren becomes gestudeerd, proberen becomes geprobeerd and organiseren becomes georganiseerd. Preserve spelling marks where necessary, as in informeren-geïnformeerd. Check borrowed or unfamiliar verbs rather than borrowing a rule from another language.","Common unstressed inseparable prefixes block an extra ge-; ordinary -eren verbs such as studeren still form participles with ge-.","Hij heeft in België gestudeerd.","He studied in Belgium.","We hebben de rekening betaald.","We paid the bill.","Write 'gestudeerd', not 'studeerd'. Dutch does not generally drop ge merely because a verb ends in -eren.","The dieresis in geïnformeerd marks separate vowel sounds. Keep the accent in België when copying the example.","49","6","false"
"a2-perfect-subclauses","A2","Putting perfect verbs in subordinate clauses","Perfect Tense","Place a perfect-tense auxiliary and participle together at the end of a subordinate clause.","Recognise both standard orders in a simple two-verb group.","In a main clause, the perfect auxiliary occupies the finite position: ik heb gisteren gewerkt. In a subordinate clause, both the auxiliary and the participle move into a group near the end: omdat ik gisteren heb gewerkt.

For this simple auxiliary-plus-participle group, both orders are standard: omdat ik heb gewerkt and omdat ik gewerkt heb. Neither should be presented as universally wrong. Choose one consistent production pattern at first, while learning to recognise the other.

Keep ordinary objects and time information before the final group: ik weet dat zij de rekening heeft betaald. More complex groups with modals or three verbs have additional possibilities and are outside this introductory lesson.","In a simple perfect subordinate clause, put auxiliary and participle at the end; both heb gewerkt and gewerkt heb are standard orders.","Ik ben moe omdat ik hard heb gewerkt.","I am tired because I have worked hard.","Ik weet dat zij de rekening betaald heeft.","I know that she has paid the bill.","Do not retain main-clause placement in 'omdat ik heb gisteren gewerkt'. Put gisteren before the final verb group.","The two examples intentionally illustrate different accepted orders. Complex modal perfects and three-verb groups are reserved for later study.","50","5","false"
"a2-past-zijn-hebben","A2","Using was, waren, had and hadden","Past Tense","Describe past states and possession with was, waren, had and hadden.","Begin the simple past with two frequent verbs that need no perfect auxiliary.","The simple past expresses past time with a finite past verb. Zijn becomes was for a singular subject and waren for a plural subject. Hebben becomes had and hadden. These forms are useful for describing how things were: het was koud; we hadden weinig tijd.

Use the same form for all singular persons: ik was, jij was, hij was. A fronted time expression still causes inversion: gisteren was ik thuis. Questions put the past finite verb first: had je tijd?

A single past occasion can be introduced by toen: toen ik jong was, woonde ik in Delft. For now, recognise toen ik jong was as a past-time clause; the next lesson explains woonde. Unlike a perfect form, was or had in these state descriptions does not need a participle.","Use singular was/had and plural waren/hadden for simple past states or possession, following the usual finite-verb positions.","Gisteren was ik ziek.","I was ill yesterday.","We hadden weinig tijd.","We had little time.","Say 'Wij waren thuis', not 'Wij was thuis'. All plural subjects take waren.","Had plus a participle forms a different tense, the pluperfect. This lesson uses had as the past of possession only.","51","4","false"
"a2-past-regular","A2","Forming the simple past of regular verbs","Past Tense","Form regular simple-past verbs with -te/-de and plural -ten/-den.","Apply the voiceless-consonant choice while retaining the full past-tense ending.","For a regular verb, add -te or -de to the stem in the singular, and -ten or -den in the plural: ik werkte, wij werkten; ik woonde, wij woonden. Use the same underlying consonant test as for regular participles: voiceless endings take t, and other endings take d. Check the infinitive before final v or z changes spelling: reizen gives reisde, not reiste.

Unlike a participle, the simple past keeps both letters when the stem already ends in t or d: wachten-wachtte and antwoorden-antwoordde. The plural forms are wachtten and antwoordden.

The past finite verb follows normal clause order: gisteren werkte ik; omdat ik gisteren werkte. Do not add hebben or ge- to create a simple-past form.","Regular simple past uses stem + te/de in the singular and ten/den in the plural, retaining doubled t or d where the full ending requires it.","Ik wachtte op de bus.","I waited for the bus.","Vroeger woonden we in Delft.","We used to live in Delft.","Write 'wachtte' in the singular past, not 'wachte'. The stem wacht retains its t before -te.","The perfect participle gewacht has one final t; the simple-past spelling wachtte has two because it includes -te.","52","6","false"
"a2-past-irregular","A2","Using common irregular simple past forms","Past Tense","Use frequent irregular past verbs and past modals in short everyday sentences.","Learn useful singular/plural pairs instead of guessing from the present stem.","Common irregular past pairs include ging-gingen (gaan), kwam-kwamen (komen), deed-deden (doen), zag-zagen (zien), at-aten (eten) and dronk-dronken (drinken). Learn both singular and plural, including spelling changes. All singular persons normally share the same past form.

Useful past modals are kon-konden, mocht-mochten and moest-moesten. They still take an infinitive without te: ik kon niet slapen; we moesten werken. Willen commonly uses wilde-wilden; wou and wouden also occur, particularly in informal usage.

In an account of one past occasion, use toen for when: toen ik thuis kwam, was het laat. A repeated past situation can use als: als het regende, bleven we thuis. Treat uncommon forms as vocabulary to check.","Memorise irregular singular/plural past pairs; a past modal such as kon or moest still takes an infinitive without te.","We gingen gisteren naar de markt.","We went to the market yesterday.","Ik kon vannacht niet slapen.","I could not sleep last night.","Use 'wij gingen', not 'wij ging'. An irregular singular past form still has a distinct plural.","Vannacht can refer to last night or tonight; kon makes the past meaning clear in the example.","53","6","false"
"a2-past-choices","A2","Choosing a past form in everyday stories","Past Tense","Choose a useful past form for an event report or a background description.","Understand common perfect/simple-past preferences without imposing an English tense rule.","In everyday conversation, the perfect often reports a completed event: ik heb gisteren een fiets gekocht. The simple past commonly supplies background, states or a continuing story: het was koud; we hadden weinig tijd; ik liep naar huis.

These are preferences rather than an absolute division between finished and unfinished actions. A simple past can describe a completed event, and the perfect can describe an activity lasting a long time. Both can occur with gisteren. English often translates both Dutch forms with a simple past.

A short account can combine them naturally: ik heb een jas gekocht, want mijn oude jas was kapot. Choose the form that suits the role of the information, while building confidence with common verbs and short stories.","Use the perfect as a practical default for reporting an event and the simple past for many states or narrative backgrounds, while recognising substantial overlap.","Ik heb een jas gekocht, want mijn oude jas was kapot.","I bought a coat because my old coat was damaged.","Toen ik jong was, woonde ik in een dorp.","When I was young, I lived in a village.","Do not reject 'Ik heb gisteren gewerkt' because English normally avoids its present perfect with yesterday. Dutch permits this combination.","Tense choices vary with context and genre. More detailed storytelling and past-before-past sequences belong in later study.","54","5","false"
"a2-nadat","A2","Putting completed actions in sequence with nadat","Conjunctions","Use nadat with a completed first action before a present or future main action.","Express after while preserving the completion and order of two events.","Nadat means after and introduces the action that finishes first. For an everyday plan, a useful pattern combines a perfect subordinate clause with a present main clause: nadat ik heb gegeten, ga ik wandelen. Eating finishes before the walk begins.

Keep both perfect verb parts at the end of the nadat clause. If that clause comes first, the main finite verb precedes its subject. You can also put it second: ik ga wandelen nadat ik heb gegeten. Both orders describe the same event sequence.

A story with two past events may need the pluperfect, such as nadat ik had gegeten. That form is a later extension. Practise the present/future pattern here instead of assuming one tense combination works for every time setting.","For a present/future sequence, nadat + a perfect clause presents a completed first action before the main action.","Nadat ik heb gegeten, ga ik wandelen.","After I have eaten, I will go for a walk.","We drinken koffie nadat we de keuken hebben schoongemaakt.","We will drink coffee after we have cleaned the kitchen.","Do not reverse the events: in 'Nadat ik heb gegeten, ga ik wandelen', eating happens first.","The past-before-past use is identified for recognition only; producing the pluperfect is reserved for B1 follow-up.","55","5","false"
"a2-future-plans","A2","Talking about plans with the present and gaan","Future","Describe a future arrangement with the present or gaan plus an infinitive.","Make plans without adding a future auxiliary to every sentence.","Dutch often uses the present with a future time phrase for an arrangement: morgen werk ik thuis. The time phrase supplies the future meaning. The finite verb still occupies the second position.

Gaan plus an infinitive commonly expresses an intention or an upcoming action: ik ga vanavond koken. The finite forms are ga, gaat and gaan; the action infinitive comes near the end without te. In this construction gaan need not describe physical movement.

Contrast ik ga naar de winkel, where gaan is a movement verb, with ik ga een fiets kopen, where it introduces a planned action. Some contexts allow both interpretations. Use a clear time phrase and a familiar action while practising.","Use the present plus future time for arrangements, or finite gaan + an infinitive without te for a plan or upcoming action.","Morgen werk ik thuis.","I am working from home tomorrow.","We gaan vanavond pasta maken.","We are going to make pasta this evening.","Say 'We gaan koken', not 'We gaan te koken'. Gaan in this pattern does not take te.","Zullen is taught next for offers and predictions. It is not required for every future meaning.","56","4","false"
"a2-future-zullen","A2","Making offers and predictions with zullen","Future","Use zullen for a simple offer, suggestion or prediction.","Recognise the meaning added by zal, zult and zullen.","Useful present forms are ik zal, jij zult/zal, u zult/zal, hij/zij zal and plural zullen. Zullen takes an infinitive without te near the end. It can express a prediction or expectation: het zal morgen regenen.

A question with zal ik often offers help: zal ik de deur openen? Zullen we commonly proposes a shared action: zullen we koffie drinken? These are not merely questions about a fixed future timetable.

For an ordinary arrangement, the present with a time phrase is often enough: morgen kom ik. Choose zullen when its offer, expectation or commitment fits the context. Like other finite verbs, it inverts after an opening phrase or in a yes/no question.","Use zullen + an infinitive without te for offers, shared suggestions and predictions; zal ik and zullen we are useful question patterns.","Zal ik de deur openen?","Shall I open the door?","Het zal morgen regenen.","It will probably rain tomorrow.","Use 'Zullen we koffie drinken?', not 'Zal we koffie drinken?'. We needs the plural form.","Zullen can also express a present assumption. That broader use is left for later study.","57","4","false"
"a2-zou","A2","Making polite requests and imagining possibilities","Modal Verbs","Use zou or zouden for a polite request or a simple imagined situation.","Soften an everyday request and describe what you would do.","Zou is the singular past form of zullen; zouden is plural. These forms also have a useful non-past function: they make a request less direct or describe an imagined possibility. Zou u mij helpen? politely asks for help now.

For a simple hypothetical situation, combine an als clause with a past form and a main clause with zou: als ik meer tijd had, zou ik vaker koken. Keep the infinitive near the end, and invert the main clause after the opening als clause.

Do not assume every occurrence of zou describes a real past event. Context distinguishes a polite request, an imagined situation and other uses. More complex past counterfactuals with several auxiliaries are outside this lesson.","Use singular zou or plural zouden with an infinitive for polite requests and simple would meanings; a fronted condition still triggers inversion.","Zou u mij helpen, alstublieft?","Would you help me, please?","Als ik meer tijd had, zou ik vaker koken.","If I had more time, I would cook more often.","Write 'zou ik vaker koken' after the opening condition, not 'ik zou vaker koken' in that position.","Zou u mij kunnen helpen? is another common polite phrase; it contains an additional infinitive.","58","5","false"
