dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
gast,guest,A2,noun,Family and relationships,Elke gast krijgt een kop koffie.,Every guest gets a cup of coffee.,,,de,gasten,,,,,,,,,false
voornaam,first name,A2,noun,Personal details and contact,Vul hier je voornaam in.,Enter your first name here.,,,de,voornamen,,,,,,,,,false
achternaam,surname,A2,noun,Personal details and contact,Hoe schrijf je je achternaam?,How do you spell your surname?,,,de,achternamen,,,,,,,,,false
geboortedatum,date of birth,A2,noun,Personal details and contact,Wat is uw geboortedatum?,What is your date of birth?,,,de,geboortedata,,,,,,,,,false
geboorteplaats,place of birth,A2,noun,Personal details and contact,Mijn geboorteplaats is een klein dorp.,My birthplace is a small village.,,,de,geboorteplaatsen,,,,,,,,,false
leeftijd,age,A2,noun,Personal details and contact,De kinderen hebben dezelfde leeftijd.,The children are the same age.,,,de,leeftijden,,,,,,,,,false
nationaliteit,nationality,A2,noun,Personal details and contact,Welke nationaliteit hebt u?,What nationality are you?,,,de,nationaliteiten,,,,,,,,,false
handtekening,signature,A2,noun,Personal details and contact,Zet hier uw handtekening.,Put your signature here.,,,de,handtekeningen,,,,,,,,,false
formulier,form,A2,noun,Personal details and contact,Dit formulier heeft twee pagina's.,This form has two pages.,,,het,formulieren,,,,,,,,,false
postcode,postcode,A2,noun,Personal details and contact,Vul ook de postcode in.,Enter the postcode too.,,,de,postcodes,,,,,,,,,false
huisnummer,house number,A2,noun,Personal details and contact,Ons huisnummer is twaalf.,Our house number is twelve.,,,het,huisnummers,,,,,,,,,false
woonplaats,town of residence,A2,noun,Personal details and contact,Schrijf je woonplaats onder je adres.,Write your town below your address.,,,de,woonplaatsen,,,,,,,,,false
telefoonnummer,telephone number,A2,noun,Personal details and contact,Mag ik je telefoonnummer?,May I have your telephone number?,,,het,telefoonnummers,,,,,,,,,false
e-mailadres,email address,A2,noun,Personal details and contact,Controleer uw e-mailadres.,Check your email address.,,,het,e-mailadressen,,,,,,,,,false
bericht,message,A2,noun,Personal details and contact,Ik stuur je straks een bericht.,I will send you a message later.,,,het,berichten,,,,,,,,,false
gesprek,conversation,A2,noun,Personal details and contact,Het gesprek duurde tien minuten.,The conversation lasted ten minutes.,,,het,gesprekken,,,,,,,,,false
bezoek,visit,A2,noun,Personal details and contact,Bedankt voor je bezoek.,Thank you for your visit.,,,het,bezoeken,,,,,,,,,false
uitnodiging,invitation,A2,noun,Personal details and contact,Ik heb een uitnodiging voor het feest.,I have an invitation to the party.,,,de,uitnodigingen,,,,,,,,,false
groet,greeting,A2,noun,Personal details and contact,Doe je ouders de groeten.,Give my regards to your parents.,,,de,groeten,,,,,,,,,false
afzender,sender,A2,noun,Personal details and contact,De naam van de afzender staat achterop.,The sender's name is on the back.,,,de,afzenders,,,,,,,,,false
ontvanger,recipient,A2,noun,Personal details and contact,De ontvanger moet voor het pakket tekenen.,The recipient must sign for the parcel.,,,de,ontvangers,,,,,,,,,false
woning,dwelling / home,A2,noun,Housing,We zoeken een betaalbare woning.,We are looking for an affordable home.,,,de,woningen,,,,,,,,,false
appartement,apartment,A2,noun,Housing,Hun appartement heeft een balkon.,Their apartment has a balcony.,,,het,appartementen,,,,,,,,,false
flat,flat / apartment building,A2,noun,Housing,Zij woont op de derde verdieping van een flat.,She lives on the third floor of an apartment building.,,,de,flats,,,,,,,,,false
huur,rent,A2,noun,Housing,De huur betalen we elke maand.,We pay the rent every month.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
huurder,tenant,A2,noun,Housing,De huurder krijgt twee sleutels.,The tenant gets two keys.,,,de,huurders,,,,,,,,,false
verhuurder,landlord,A2,noun,Housing,Bel de verhuurder over de verwarming.,Call the landlord about the heating.,,,de,verhuurders,,,,,,,,,false
huurcontract,tenancy agreement,A2,noun,Housing,Lees het huurcontract voor je tekent.,Read the tenancy agreement before signing.,,,het,huurcontracten,,,,,,,,,false
borg,deposit (security),A2,noun,Housing,Je krijgt de borg later terug.,You get the deposit back later.,,,de,borgen,,,,,,,,,false
verdieping,floor / storey,A2,noun,Housing,Wij wonen op de tweede verdieping.,We live on the second floor.,,,de,verdiepingen,,,,,,,,,false
begane grond,ground floor,A2,noun,Housing,De keuken is op de begane grond.,The kitchen is on the ground floor.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
balkon,balcony,A2,noun,Housing,We ontbijten op het balkon.,We have breakfast on the balcony.,,,het,balkons,,,,,,,,,false
dak,roof,A2,noun,Housing,Er ligt sneeuw op het dak.,There is snow on the roof.,,,het,daken,,,,,,,,,false
plafond,ceiling,A2,noun,Housing,De lamp hangt aan het plafond.,The light hangs from the ceiling.,,,het,plafonds,,,,,,,,,false
gang,hallway,A2,noun,Housing,Laat je schoenen in de gang.,Leave your shoes in the hallway.,,,de,gangen,,,,,,,,,false
ingang,entrance,A2,noun,Housing,De ingang is aan de zijkant.,The entrance is at the side.,,,de,ingangen,,,,,,,,,false
uitgang,exit,A2,noun,Housing,Volg de borden naar de uitgang.,Follow the signs to the exit.,,,de,uitgangen,,,,,,,,,false
lift,lift / elevator,A2,noun,Housing,De lift gaat naar boven.,The lift is going up.,,,de,liften,,,,,,,,,false
kelder,cellar,A2,noun,Housing,De fietsen staan in de kelder.,The bicycles are in the cellar.,,,de,kelders,,,,,,,,,false
zolder,attic,A2,noun,Housing,Onze koffers liggen op zolder.,Our suitcases are in the attic.,,,de,zolders,,,,,,,,,false
garage,garage,A2,noun,Housing,De auto staat in de garage.,The car is in the garage.,,,de,garages,,,,,,,,,false
woonkamer,living room,A2,noun,Furniture and equipment,We kijken televisie in de woonkamer.,We watch television in the living room.,,,de,woonkamers,,,,,,,,,false
slaapkamer,bedroom,A2,noun,Furniture and equipment,De slaapkamer ligt aan de achterkant.,The bedroom is at the back.,,,de,slaapkamers,,,,,,,,,false
bureau,desk,A2,noun,Furniture and equipment,Mijn computer staat op het bureau.,My computer is on the desk.,,,het,bureaus,,,,,,,,,false
boekenkast,bookcase,A2,noun,Furniture and equipment,De boekenkast staat naast het raam.,The bookcase is next to the window.,,,de,boekenkasten,,,,,,,,,false
spiegel,mirror,A2,noun,Furniture and equipment,Boven de wastafel hangt een spiegel.,There is a mirror above the washbasin.,,,de,spiegels,,,,,,,,,false
gordijn,curtain,A2,noun,Furniture and equipment,Doe het gordijn dicht.,Close the curtain.,,,het,gordijnen,,,,,,,,,false
tapijt,carpet,A2,noun,Furniture and equipment,Het tapijt voelt zacht aan.,The carpet feels soft.,,,het,tapijten,,,,,,,,,false
kussen,pillow / cushion,A2,noun,Furniture and equipment,Ik slaap met twee kussens.,I sleep with two pillows.,,,het,kussens,,,,,,,,,false
deken,blanket,A2,noun,Furniture and equipment,Pak een deken als je het koud hebt.,Get a blanket if you are cold.,,,de,dekens,,,,,,,,,false
laken,bed sheet,A2,noun,Furniture and equipment,Ik leg een schoon laken op bed.,I put a clean sheet on the bed.,,,het,lakens,,,,,,,,,false
matras,mattress,A2,noun,Furniture and equipment,Deze matras is te hard.,This mattress is too hard.,,,het,matrassen,,,,,,,,,false
verwarming,heating,A2,noun,Furniture and equipment,De verwarming staat aan.,The heating is on.,,,de,verwarmingen,,,,,,,,,false
koelkast,fridge,A2,noun,Furniture and equipment,Zet de yoghurt in de koelkast.,Put the yoghurt in the fridge.,,,de,koelkasten,,,,,,,,,false
vriezer,freezer,A2,noun,Furniture and equipment,Het ijs ligt in de vriezer.,The ice cream is in the freezer.,,,de,vriezers,,,,,,,,,false
oven,oven,A2,noun,Furniture and equipment,De taart staat in de oven.,The cake is in the oven.,,,de,ovens,,,,,,,,,false
magnetron,microwave,A2,noun,Furniture and equipment,Warm de soep op in de magnetron.,Heat the soup in the microwave.,,,de,magnetrons,,,,,,,,,false
vaatwasser,dishwasher,A2,noun,Furniture and equipment,De vaatwasser is bijna vol.,The dishwasher is almost full.,,,de,vaatwassers,,,,,,,,,false
wasmachine,washing machine,A2,noun,Furniture and equipment,De wasmachine maakt veel geluid.,The washing machine makes a lot of noise.,,,de,wasmachines,,,,,,,,,false
stofzuiger,vacuum cleaner,A2,noun,Furniture and equipment,Waar staat de stofzuiger?,Where is the vacuum cleaner?,,,de,stofzuigers,,,,,,,,,false
televisie,television,A2,noun,Furniture and equipment,De televisie staat te hard.,The television is too loud.,,,de,televisies,,,,,,,,,false
afwas,washing-up,A2,noun,Household tasks,Ik doe na het eten de afwas.,I do the washing-up after dinner.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
was,laundry,A2,noun,Household tasks,De was hangt buiten te drogen.,The laundry is drying outside.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
afval,waste / rubbish,A2,noun,Household tasks,Sorteer je afval in de juiste bak.,Sort your rubbish into the right bin.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
vuilnisbak,rubbish bin,A2,noun,Household tasks,De vuilnisbak staat buiten.,The rubbish bin is outside.,,,de,vuilnisbakken,,,,,,,,,false
emmer,bucket,A2,noun,Household tasks,Vul de emmer met warm water.,Fill the bucket with warm water.,,,de,emmers,,,,,,,,,false
bezem,broom,A2,noun,Household tasks,Ik veeg de vloer met een bezem.,I sweep the floor with a broom.,,,de,bezems,,,,,,,,,false
doek,cloth,A2,noun,Household tasks,Maak de tafel schoon met een doek.,Clean the table with a cloth.,,,de,doeken,,,,,,,,,false
spons,sponge,A2,noun,Household tasks,Deze spons is voor de afwas.,This sponge is for the washing-up.,,,de,sponzen,,,,,,,,,false
wasmiddel,laundry detergent,A2,noun,Household tasks,Doe wat wasmiddel in de machine.,Put some detergent in the machine.,,,het,wasmiddelen,,,,,,,,,false
afwasmiddel,washing-up liquid,A2,noun,Household tasks,We hebben nieuw afwasmiddel nodig.,We need more washing-up liquid.,,,het,afwasmiddelen,,,,,,,,,false
stekker,plug,A2,noun,Household tasks,Trek de stekker uit het stopcontact.,Pull the plug out of the socket.,,,de,stekkers,,,,,,,,,false
stopcontact,power socket,A2,noun,Household tasks,Er zit een stopcontact naast het bed.,There is a power socket beside the bed.,,,het,stopcontacten,,,,,,,,,false
kabel,cable,A2,noun,Household tasks,Deze kabel is te kort.,This cable is too short.,,,de,kabels,,,,,,,,,false
batterij,battery,A2,noun,Household tasks,De batterij van de klok is leeg.,The clock's battery is flat.,,,de,batterijen,,,,,,,,,false
kraan,tap,A2,noun,Household tasks,Draai de kraan dicht.,Turn off the tap.,,,de,kranen,,,,,,,,,false
gootsteen,kitchen sink,A2,noun,Household tasks,De vuile kopjes staan in de gootsteen.,The dirty cups are in the sink.,,,de,gootstenen,,,,,,,,,false
wastafel,washbasin,A2,noun,Household tasks,Ik was mijn gezicht bij de wastafel.,I wash my face at the washbasin.,,,de,wastafels,,,,,,,,,false
douche,shower,A2,noun,Household tasks,De douche geeft alleen koud water.,The shower only has cold water.,,,de,douches,,,,,,,,,false
bad,bath,A2,noun,Household tasks,Het kind zit in bad.,The child is in the bath.,,,het,baden,,,,,,,,,false
reparatie,repair,A2,noun,Household tasks,De reparatie kost vijftig euro.,The repair costs fifty euros.,,,de,reparaties,,,,,,,,,false
aardbei,strawberry,A2,noun,Fruit and vegetables,Deze aardbei smaakt zoet.,This strawberry tastes sweet.,,,de,aardbeien,,,,,,,,,false
druif,grape,A2,noun,Fruit and vegetables,Er ligt een druif op de grond.,There is a grape on the ground.,,,de,druiven,,,,,,,,,false
citroen,lemon,A2,noun,Fruit and vegetables,Doe wat citroen in de thee.,Put some lemon in the tea.,,,de,citroenen,,,,,,,,,false
mandarijn,mandarin,A2,noun,Fruit and vegetables,Ik neem een mandarijn mee.,I am taking a mandarin with me.,,,de,mandarijnen,,,,,,,,,false
perzik,peach,A2,noun,Fruit and vegetables,Deze perzik is nog hard.,This peach is still hard.,,,de,perziken,,,,,,,,,false
pruim,plum,A2,noun,Fruit and vegetables,Er groeien pruimen in onze tuin.,Plums grow in our garden.,,,de,pruimen,,,,,,,,,false
kers,cherry,A2,noun,Fruit and vegetables,De kers heeft een pit.,The cherry has a stone.,,,de,kersen,,,,,,,,,false
meloen,melon,A2,noun,Fruit and vegetables,Snijd de meloen in stukken.,Cut the melon into pieces.,,,de,meloenen,,,,,,,,,false
ananas,pineapple,A2,noun,Fruit and vegetables,Ik koop een verse ananas.,I am buying a fresh pineapple.,,,de,ananassen,,,,,,,,,false
kiwi,kiwi fruit,A2,noun,Fruit and vegetables,Bij het ontbijt eet ik een kiwi.,I eat a kiwi at breakfast.,,,de,kiwi's,,,,,,,,,false
komkommer,cucumber,A2,noun,Fruit and vegetables,De komkommer ligt in de koelkast.,The cucumber is in the fridge.,,,de,komkommers,,,,,,,,,false
wortel,carrot,A2,noun,Fruit and vegetables,Rasp een wortel voor de salade.,Grate a carrot for the salad.,,,de,wortels,,,,,,,,,false
paprika,sweet pepper,A2,noun,Fruit and vegetables,We gebruiken een rode paprika.,We are using a red pepper.,,,de,paprika's,,,,,,,,,false
sla,lettuce,A2,noun,Fruit and vegetables,Er zit sla op mijn broodje.,There is lettuce in my sandwich.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
spinazie,spinach,A2,noun,Fruit and vegetables,We eten spinazie met aardappelen.,We are having spinach with potatoes.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
broccoli,broccoli,A2,noun,Fruit and vegetables,Kook de broccoli niet te lang.,Do not boil the broccoli too long.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
bloemkool,cauliflower,A2,noun,Fruit and vegetables,Deze bloemkool is groot genoeg.,This cauliflower is big enough.,,,de,bloemkolen,,,,,,,,,false
courgette,courgette,A2,noun,Fruit and vegetables,Snijd de courgette in plakjes.,Cut the courgette into slices.,,,de,courgettes,,,,,,,,,false
paddenstoel,mushroom,A2,noun,Fruit and vegetables,Niet elke paddenstoel is eetbaar.,Not every mushroom is edible.,,,de,paddenstoelen,,,,,,,,,false
knoflook,garlic,A2,noun,Fruit and vegetables,In de saus zit knoflook.,The sauce contains garlic.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
yoghurt,yoghurt,A2,noun,Groceries,Ik eet yoghurt met fruit.,I eat yoghurt with fruit.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
room,cream,A2,noun,Groceries,Doe een beetje room bij de soep.,Add a little cream to the soup.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
kwark,quark / soft curd cheese,A2,noun,Groceries,Deze kwark is zonder suiker.,This quark has no added sugar.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
jam,jam,A2,noun,Groceries,Er zit jam op mijn brood.,There is jam on my bread.,,,de,jams,,,,,,,,,false
honing,honey,A2,noun,Groceries,Ik doe honing in mijn thee.,I put honey in my tea.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
olie,oil,A2,noun,Groceries,Verwarm de olie in de pan.,Heat the oil in the pan.,,,de,oliën,,,,,,,,,false
azijn,vinegar,A2,noun,Groceries,Meng olie en azijn voor de salade.,Mix oil and vinegar for the salad.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
peper,pepper (seasoning),A2,noun,Groceries,Wil je nog wat peper?,Would you like some more pepper?,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
kruid,herb,A2,noun,Groceries,Dit kruid ruikt naar citroen.,This herb smells of lemon.,,,het,kruiden,,,,,,,,,false
saus,sauce,A2,noun,Groceries,Wil je saus bij de pasta?,Would you like sauce with the pasta?,,,de,sauzen,,,,,,,,,false
pasta,pasta,A2,noun,Groceries,De pasta kookt acht minuten.,The pasta cooks for eight minutes.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
noedel,noodle,A2,noun,Groceries,Er zitten noedels in de soep.,There are noodles in the soup.,,,de,noedels,,,,,,,,,false
boon,bean,A2,noun,Groceries,We eten bonen met rijst.,We are having beans with rice.,,,de,bonen,,,,,,,,,false
erwt,pea,A2,noun,Groceries,De kinderen vinden erwten lekker.,The children like peas.,,,de,erwten,,,,,,,,,false
noot,nut,A2,noun,Groceries,Deze koek bevat noten.,This biscuit contains nuts.,,,de,noten,,,,,,,,,false
pinda,peanut,A2,noun,Groceries,Ik ben allergisch voor pinda's.,I am allergic to peanuts.,,,de,pinda's,,,,,,,,,false
chocolade,chocolate,A2,noun,Groceries,Een stukje chocolade is genoeg.,One piece of chocolate is enough.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
koek,biscuit / cake,A2,noun,Groceries,Wil je een koek bij de koffie?,Would you like a biscuit with your coffee?,,,de,koeken,,,,,,,,,false
taart,cake / pie,A2,noun,Groceries,We bakken een taart voor oma.,We are baking a cake for Grandma.,,,de,taarten,,,,,,,,,false
ijs,ice / ice cream,A2,noun,Groceries,Na het eten nemen we ijs.,We are having ice cream after dinner.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
recept,recipe,A2,noun,Cooking and eating out,Dit recept is voor vier personen.,This recipe serves four people.,,,het,recepten,,,,,,,,,false
ingrediënt,ingredient,A2,noun,Cooking and eating out,Er ontbreekt één ingrediënt.,One ingredient is missing.,,,het,ingrediënten,,,,,,,,,false
ontbijtkoek,spiced breakfast cake,A2,noun,Cooking and eating out,Ik eet een plak ontbijtkoek.,I am eating a slice of spiced breakfast cake.,,,de,ontbijtkoeken,,,,,,,,,false
boterham,slice of bread / sandwich,A2,noun,Cooking and eating out,Ik neem een boterham met kaas.,I am having a cheese sandwich.,,,de,boterhammen,,,,,,,,,false
broodje,bread roll / filled roll,A2,noun,Cooking and eating out,Mag ik een broodje gezond?,May I have a salad and cheese roll?,"A bread roll or filled roll is a conventional food meaning, beyond merely a small loaf.",,het,broodjes,,,,,,,,,false
salade,salad,A2,noun,Cooking and eating out,Bij de vis eten we salade.,We have salad with the fish.,,,de,salades,,,,,,,,,false
pannenkoek,pancake,A2,noun,Cooking and eating out,Deze pannenkoek is met appel.,This pancake has apple in it.,,,de,pannenkoeken,,,,,,,,,false
pizza,pizza,A2,noun,Cooking and eating out,We delen een grote pizza.,We are sharing a large pizza.,,,de,pizza's,,,,,,,,,false
kip,chicken,A2,noun,Cooking and eating out,De kip moet nog even bakken.,The chicken needs to cook a little longer.,,,de,kippen,,,,,,,,,false
worst,sausage,A2,noun,Cooking and eating out,De worst ligt op de barbecue.,The sausage is on the barbecue.,,,de,worsten,,,,,,,,,false
ham,ham,A2,noun,Cooking and eating out,Wil je ham of kaas?,Would you like ham or cheese?,,,de,hammen,,,,,,,,,false
portie,portion,A2,noun,Cooking and eating out,Eén portie is genoeg voor mij.,One portion is enough for me.,,,de,porties,,,,,,,,,false
stuk,piece,A2,noun,Cooking and eating out,Mag ik een stuk taart?,May I have a piece of cake?,,,het,stukken,,,,,,,,,false
plak,slice,A2,noun,Cooking and eating out,Ik eet een plak kaas.,I am eating a slice of cheese.,,,de,plakken,,,,,,,,,false
menukaart,menu,A2,noun,Cooking and eating out,Mag ik de menukaart zien?,May I see the menu?,,,de,menukaarten,,,,,,,,,false
voorgerecht,starter,A2,noun,Cooking and eating out,Als voorgerecht neem ik soep.,I will have soup as a starter.,,,het,voorgerechten,,,,,,,,,false
hoofdgerecht,main course,A2,noun,Cooking and eating out,Het hoofdgerecht komt zo.,The main course will be here soon.,,,het,hoofdgerechten,,,,,,,,,false
nagerecht,dessert,A2,noun,Cooking and eating out,Wil je nog een nagerecht?,Would you like dessert?,,,het,nagerechten,,,,,,,,,false
rekening,bill / account,A2,noun,Cooking and eating out,Mogen we de rekening?,May we have the bill?,,,de,rekeningen,,,,,,,,,false
fooi,tip (money),A2,noun,Cooking and eating out,We geven de ober een fooi.,We give the waiter a tip.,,,de,fooien,,,,,,,,,false
bakker,baker,A2,noun,Shops and payments,De bakker opent om zeven uur.,The baker opens at seven.,,,de,bakkers,,,,,,,,,false
slager,butcher,A2,noun,Shops and payments,Bij de slager koop ik kip.,I buy chicken at the butcher's.,,,de,slagers,,,,,,,,,false
drogist,chemist / drugstore,A2,noun,Shops and payments,De drogist verkoopt shampoo.,The drugstore sells shampoo.,,,de,drogisten,,,,,,,,,false
warenhuis,department store,A2,noun,Shops and payments,Dit warenhuis heeft vijf verdiepingen.,This department store has five floors.,,,het,warenhuizen,,,,,,,,,false
winkelcentrum,shopping centre,A2,noun,Shops and payments,Het winkelcentrum is op zondag open.,The shopping centre is open on Sunday.,,,het,winkelcentra,,,,,,,,,false
klant,customer,A2,noun,Shops and payments,De klant betaalt met een kaart.,The customer pays by card.,,,de,klanten,,,,,,,,,false
verkoper,salesperson,A2,noun,Shops and payments,Vraag de verkoper om advies.,Ask the salesperson for advice.,,,de,verkopers,,,,,,,,,false
kassa,checkout / till,A2,noun,Shops and payments,Er staat een rij bij de kassa.,There is a queue at the checkout.,,,de,kassa's,,,,,,,,,false
bon,receipt,A2,noun,Shops and payments,Bewaar de bon van je aankoop.,Keep the receipt for your purchase.,,,de,bonnen,,,,,,,,,false
korting,discount,A2,noun,Shops and payments,Vandaag krijgt u tien procent korting.,Today you get a ten percent discount.,,,de,kortingen,,,,,,,,,false
aanbieding,special offer,A2,noun,Shops and payments,Deze kaas is in de aanbieding.,This cheese is on special offer.,,,de,aanbiedingen,,,,,,,,,false
verpakking,packaging,A2,noun,Shops and payments,De verpakking mag bij het plastic.,The packaging goes with the plastic waste.,,,de,verpakkingen,,,,,,,,,false
doos,box,A2,noun,Shops and payments,De schoenen zitten in een doos.,The shoes are in a box.,,,de,dozen,,,,,,,,,false
zak,bag / sack,A2,noun,Shops and payments,Ik koop een zak aardappelen.,I am buying a bag of potatoes.,,,de,zakken,,,,,,,,,false
mand,basket,A2,noun,Shops and payments,Leg het fruit in de mand.,Put the fruit in the basket.,,,de,manden,,,,,,,,,false
winkelwagen,shopping trolley,A2,noun,Shops and payments,De winkelwagen staat bij de ingang.,The shopping trolley is by the entrance.,,,de,winkelwagens,,,,,,,,,false
pinpas,debit card,A2,noun,Shops and payments,Mag ik met mijn pinpas betalen?,May I pay with my debit card?,,,de,pinpassen,,,,,,,,,false
contant geld,cash,A2,noun,Shops and payments,Ik heb geen contant geld bij me.,I have no cash with me.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
wisselgeld,change (money),A2,noun,Shops and payments,Hier is uw wisselgeld.,Here is your change.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
bedrag,amount (money),A2,noun,Shops and payments,Controleer het bedrag op het scherm.,Check the amount on the screen.,,,het,bedragen,,,,,,,,,false
overhemd,button-up shirt,A2,noun,Clothes and appearance,Hij draagt een overhemd naar kantoor.,He wears a shirt to the office.,,,het,overhemden,,,,,,,,,false
vest,cardigan,A2,noun,Clothes and appearance,Trek een vest aan als je het koud hebt.,Put on a cardigan if you are cold.,,,het,vesten,,,,,,,,,false
blouse,blouse,A2,noun,Clothes and appearance,Deze blouse past goed.,This blouse fits well.,,,de,blouses,,,,,,,,,false
pak,suit,A2,noun,Clothes and appearance,Hij draagt een pak op de bruiloft.,He wears a suit to the wedding.,,,het,pakken,,,,,,,,,false
spijkerbroek,jeans,A2,noun,Clothes and appearance,Mijn spijkerbroek is versleten.,My jeans are worn out.,,,de,spijkerbroeken,,,,,,,,,false
onderbroek,underpants,A2,noun,Clothes and appearance,Ik pak een schone onderbroek.,I get a clean pair of underpants.,,,de,onderbroeken,,,,,,,,,false
pyjama,pyjamas,A2,noun,Clothes and appearance,Het kind trekt zijn pyjama aan.,The child puts on his pyjamas.,,,de,pyjama's,,,,,,,,,false
zwembroek,swimming trunks,A2,noun,Clothes and appearance,Vergeet je zwembroek niet.,Do not forget your swimming trunks.,,,de,zwembroeken,,,,,,,,,false
badpak,swimsuit,A2,noun,Clothes and appearance,Zij koopt een nieuw badpak.,She buys a new swimsuit.,,,het,badpakken,,,,,,,,,false
laars,boot,A2,noun,Clothes and appearance,Mijn laars zit onder de modder.,My boot is covered in mud.,,,de,laarzen,,,,,,,,,false
sandaal,sandal,A2,noun,Clothes and appearance,Deze sandaal zit te strak.,This sandal is too tight.,,,de,sandalen,,,,,,,,,false
handschoen,glove,A2,noun,Clothes and appearance,Ik ben een handschoen kwijt.,I have lost a glove.,,,de,handschoenen,,,,,,,,,false
sjaal,scarf,A2,noun,Clothes and appearance,Deze sjaal houdt me warm.,This scarf keeps me warm.,,,de,sjaals,,,,,,,,,false
muts,beanie / woolly hat,A2,noun,Clothes and appearance,Zet je muts op.,Put your hat on.,,,de,mutsen,,,,,,,,,false
pet,cap,A2,noun,Clothes and appearance,Hij draagt een pet tegen de zon.,He wears a cap to protect him from the sun.,,,de,petten,,,,,,,,,false
riem,belt,A2,noun,Clothes and appearance,Mijn riem is te lang.,My belt is too long.,,,de,riemen,,,,,,,,,false
maat,size (clothes),A2,noun,Clothes and appearance,Hebt u deze jas in mijn maat?,Do you have this coat in my size?,,,de,maten,,,,,,,,,false
