dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
financieren,to finance,B1,verb,Actions and processes,Om de oorlog te financieren zijn er obligaties uitgegeven.,Bonds were issued to finance a war.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/financieren#Dutch. Example: Dorenda (Dutch, https://tatoeba.org/en/sentences/show/377213) and CM (English, https://tatoeba.org/en/sentences/show/273291); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gefinancierd,,,,false
fotograferen,"to photograph, to shoot",B1,verb,Actions and processes,Ze willen iedere stad fotograferen.,They want to photograph every city.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/fotograferen#Dutch. Example: fekundulo (Dutch, https://tatoeba.org/en/sentences/show/4466429) and fekundulo (English, https://tatoeba.org/en/sentences/show/4466426); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gefotografeerd,,,,false
getuigen,"to testify, bear witness, give testimony, especially in court",B1,verb,Actions and processes,Ik ben gekomen om te getuigen.,I have come to bear witness.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/getuigen#Dutch. Example: carlosalberto (Dutch, https://tatoeba.org/en/sentences/show/13058294) and carlosalberto (English, https://tatoeba.org/en/sentences/show/13058286); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,getuigd,,,,false
gillen,"to yell, scream",B1,verb,Actions and processes,De jongen begon te gillen.,The boy began to scream.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/gillen#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/3409647) and CK (English, https://tatoeba.org/en/sentences/show/381886); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gegild,,,,false
gunnen,"to give, usually out of benevolence or grace; to grant",B1,verb,Actions and processes,Voorlopig moeten we hem het voordeel van de twijfel gunnen.,"For the time being, we must give him the benefit of the doubt.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/gunnen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/11515620) and belgavox (English, https://tatoeba.org/en/sentences/show/1682366); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gegund,,,,false
hardlopen,"to run fast, race on foot",B1,verb,Actions and processes,"Ik was moe, maar alsnog ging ik hardlopen.","I was tired, but I still went for a run.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/hardlopen#Dutch. Example: kiryopi (Dutch, https://tatoeba.org/en/sentences/show/12847359) and kiryopi (English, https://tatoeba.org/en/sentences/show/12847363); CC BY 2.0 FR.",B1;production,,,,irregular,true,hebben,hardgelopen,,,,false
inhalen,to catch up,B1,verb,Actions and processes,"Het maakt niet uit hoe snel je wandelt, je kan hem niet inhalen.","No matter how fast you may walk, you can't catch up with him.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/inhalen#Dutch. Example: Vulgaris (Dutch, https://tatoeba.org/en/sentences/show/858112) and CH (English, https://tatoeba.org/en/sentences/show/36714); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,ingehaald,,,,false
inhuren,to hire,B1,verb,Actions and processes,We moeten iemand inhuren om dit probleem aan te pakken.,We need to hire someone to take care of this problem.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/inhuren#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/6787894) and CK (English, https://tatoeba.org/en/sentences/show/2662625); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,ingehuurd,,,,false
inrichten,"to arrange, organize",B1,verb,Actions and processes,Ik zou het onderwijs zelf helemaal anders inrichten.,I myself would re-organize the educational system from the ground up.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/inrichten#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10891397) and megamanenm (English, https://tatoeba.org/en/sentences/show/10891409); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,ingericht,,,,false
interviewen,to interview,B1,verb,Actions and processes,Binnenkort ga ik op pad om mensen te interviewen.,Soon I'll be going out to interview people.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/interviewen#Dutch. Example: Tom9358 (Dutch, https://tatoeba.org/en/sentences/show/12771895) and Tom9358 (English, https://tatoeba.org/en/sentences/show/12771898); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geïnterviewd,,,,false
joggen,to jog,B1,verb,Actions and processes,Hij besloot ondanks zijn blindheid te gaan joggen.,He made up his mind to jog in spite of his blindness.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/joggen#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/10366285) and CK (English, https://tatoeba.org/en/sentences/show/304172); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gejogd,,,,false
klaarmaken,"to prepare, to make ready",B1,verb,Actions and processes,Mijn vader zal morgen lekker eten voor mij klaarmaken.,My father will prepare a tasty meal for me tomorrow.,"Often reflexive: use the appropriate reflexive pronoun for the intended meaning. Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/klaarmaken#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/768309) and Vulgaris (English, https://tatoeba.org/en/sentences/show/859744); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,klaargemaakt,,,,false
kletsen,to chat,B1,verb,Actions and processes,Na de vergadering bleven we nog even kletsen.,After the meeting we stayed to chat for a while.,,B1;production,,,,regular,false,hebben,gekletst,,,,false
kloppen,to knock or beat audibly,B1,verb,Actions and processes,Gelieve op de deur te kloppen voor u binnenkomt.,Please knock on the door before you enter.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/kloppen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10749779) and Zifre (English, https://tatoeba.org/en/sentences/show/281912); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geklopt,,,,false
krabben,to scratch,B1,verb,Actions and processes,Ik wil mijn neus krabben.,I want to scratch my nose.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/krabben#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/9769412) and CK (English, https://tatoeba.org/en/sentences/show/1205633); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gekrabd,,,,false
kwijtraken,"to lose, to cause to cease to be in one's possession or capability",B1,verb,Actions and processes,Ik wil deze paraplu niet kwijtraken.,I don't want to lose this umbrella.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/kwijtraken#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/13606375) and CK (English, https://tatoeba.org/en/sentences/show/7576931); CC BY 2.0 FR.",B1;production,,,,regular,true,hebben,kwijtgeraakt,,,,false
leiden,"to lead, to take the lead",B1,verb,Actions and processes,We hebben het over wie de expeditie zou moeten leiden.,We're talking about who should lead the expedition.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/leiden#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/10323486) and CK (English, https://tatoeba.org/en/sentences/show/1893610); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geleid,,,,false
lijden,"to undergo, endure, suffer",B1,verb,Actions and processes,Het is het lot van de mens om te lijden.,It is man's destiny to suffer.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/lijden#Dutch. Example: LaraCroft (Dutch, https://tatoeba.org/en/sentences/show/702548) and Eldad (English, https://tatoeba.org/en/sentences/show/701786); CC BY 2.0 FR.",B1;production,,,,irregular,false,hebben,geleden,,,,false
logeren,to stay,B1,verb,Actions and processes,Tom zal voor een paar dagen bij een vriend logeren.,Tom is going to stay at a friend's house for a few days.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/logeren#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/8320048) and CK (English, https://tatoeba.org/en/sentences/show/3185479); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,gelogeerd,,,,false
lunchen,to lunch,B1,verb,Actions and processes,Ik ben van plan om met Tom te gaan lunchen.,I plan to have lunch with Tom.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/lunchen#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/12150438) and CK (English, https://tatoeba.org/en/sentences/show/5778325); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,geluncht,,,,false
noemen,"to call, to name",B1,verb,Actions and processes,"Mijn naam is William, maar jij mag me Bill noemen.","My name is William, but you can call me Bill.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/noemen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/9688953) and Hybrid (English, https://tatoeba.org/en/sentences/show/5377064); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,genoemd,,,,false
onderbreken,"to interrupt, disrupt, butt in",B1,verb,Actions and processes,"Sorry, het was niet mijn bedoeling u te onderbreken.","Sorry, I didn't mean to interrupt.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/onderbreken#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/7934639) and CK (English, https://tatoeba.org/en/sentences/show/2396320); CC BY 2.0 FR.",B1;production,,,,irregular,false,hebben,onderbroken,,,,false
ondergaan,"to undergo, endure",B1,verb,Actions and processes,De chirurg overtuigde hem om een ​​orgaantransplantatie te ondergaan.,The surgeon persuaded him to undergo an organ transplant.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/ondergaan#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/9033741) and Swift (English, https://tatoeba.org/en/sentences/show/21984); CC BY 2.0 FR.",B1;production,,,,irregular,false,hebben,ondergaan,,,,false
onderhandelen,to negotiate,B1,verb,Actions and processes,We hebben hem afgevaardigd om met hen te onderhandelen.,We delegated him to negotiate with them.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/onderhandelen#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8204570) and Stalwartlover (English, https://tatoeba.org/en/sentences/show/22704); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,onderhandeld,,,,false
onderschatten,to underestimate,B1,verb,Actions and processes,De mensen zijn geneigd om hun toekomstige noden te onderschatten.,People have a tendency to underestimate their future needs.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/onderschatten#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/2260324) and megamanenm (English, https://tatoeba.org/en/sentences/show/2280683); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,onderschat,,,,false
onderscheiden,"to distinguish, to discriminate",B1,verb,Actions and processes,Het is moeilijk u van uw broer te onderscheiden.,It's hard to distinguish you from your brother.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/onderscheiden#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/925299) and sundown (English, https://tatoeba.org/en/sentences/show/8503744); CC BY 2.0 FR.",B1;production,,,,regular,false,hebben,onderscheiden,,,,false
