"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"b2-reported-speech-perspective","B2","Controlling tense and viewpoint in longer reports","Reported Speech","Keep time, certainty and attribution distinct in a report of several statements.","Dutch reported speech allows a choice of tense according to the intended time and viewpoint.","Dutch reported speech allows a choice of tense according to the intended time and viewpoint. A past reporting verb does not force all following verbs into the past. Preserve a present tense for continuing facts when appropriate; use a past or pluperfect form to locate an event relative to the original statement. Make it clear which claims belong to the source and which belong to the current writer. Reintroduce the source when a long passage could blur that boundary.","Anchor each tense to a reference point. Keep source attribution clear. Use time expressions to prevent an accidental shift from the source's viewpoint to the writer's.","De woordvoerder zei dat de regeling nog steeds geldt.","The spokesperson said that the scheme is still in force.","Volgens de manager had het team de fout al hersteld voordat de klacht binnenkwam.","According to the manager, the team had already corrected the error before the complaint arrived.","Do not interpret every change of tense as a mandatory mechanical backshift.","Extends b1-reported-speech to sustained reporting and multiple time relationships.","122","12","false"
"b2-reported-uncertainty","B2","Reporting uncertain or unconfirmed information","Reported Speech","Distinguish a reported claim from the speaker's own confirmed assertion.","Zou can signal information attributed to another source without presenting it as independently confirmed.","Zou can signal information attributed to another source without presenting it as independently confirmed. This reported or evidential use differs from a future-in-the-past and from a condition. Volgens plus a source, naar verluidt and an explicit reporting clause help establish the intended reading. Avoid using a distancing form to imply doubt that the context does not justify. For a confirmed fact, an ordinary assertion with a source reference may be clearer.","Distinguish reported zou from hypothetical zou. Identify the source where possible. Use register-appropriate expressions of uncertainty.","Volgens de krant zou het bedrijf volgend jaar uitbreiden.","According to the newspaper, the company is reportedly planning to expand next year.","De afspraak zou zijn verplaatst, maar ik heb nog geen bevestiging ontvangen.","The appointment has reportedly been rescheduled, but I have not received confirmation yet.","Do not translate every zou with a single English would regardless of its function.","Extends b1-future-in-the-past and reported speech with evidential distance.","123","12","false"
"b2-modal-deduction","B2","Using moeten, zullen and kunnen for deductions","Modal Verbs","Distinguish logical inference from obligation, prediction and ability.","Modal verbs can express a judgment about how likely something is.","Modal verbs can express a judgment about how likely something is. Moeten can present a strong deduction, zullen an expectation or assumption, and kunnen a possibility. The same forms also have practical meanings such as obligation and ability. A perfect infinitive places the inferred event earlier: hij moet vertrokken zijn. Context and adverbs distinguish the readings. Negation also matters: kan niet zijn often rules out a possibility rather than describing an inability.","Identify whether the modal concerns facts or permitted actions. Use a perfect infinitive for an earlier event. Do not assign one fixed meaning to each modal.","Het licht is uit; iedereen zal wel naar huis zijn.","The lights are off; everyone has probably gone home.","Ze moet de verkeerde trein hebben genomen.","She must have taken the wrong train.","Do not interpret moet in the second sentence as an instruction issued in the past.","Extends B1 modals with epistemic meaning and earlier-event deductions.","124","12","false"
"b2-modal-negation","B2","Distinguishing no obligation, prohibition and impossibility","Modal Verbs","Use negation with modal verbs to express the intended scope.","Niet hoeven means that an action is unnecessary, while niet mogen normally means that it is not allowed.","Niet hoeven means that an action is unnecessary, while niet mogen normally means that it is not allowed. Niet moeten can express advice against an action, a prohibition-like instruction or a contrast in what is required, depending on context. Kunnen with negation can express inability or rule out a possibility. Use an unambiguous alternative when practical consequences depend on the distinction. Hoeven takes te with an infinitive in the usual negative or restrictive construction.","Use niet hoeven te for absence of necessity. Use niet mogen for prohibition. Check whether negation applies to the obligation or to the action.","Je hoeft het formulier niet opnieuw in te vullen.","You do not need to fill in the form again.","Je mag deze gegevens niet zonder toestemming delen.","You may not share these data without permission.","Do not translate don't have to with mag niet.","Extends earlier modal patterns through explicit scope contrasts.","125","12","false"
"b2-seeming-and-turning-out","B2","Using lijken, blijken and schijnen with te","Infinitives","Express appearance, discovery and reported impression through a te-infinitive.","Lijken te presents an appearance or impression.","Lijken te presents an appearance or impression. Blijken te presents something that becomes evident. Schijnen te can suggest an impression or information heard indirectly. The grammatical subject belongs meaningfully to the infinitive action or state: de maatregel blijkt te werken. A perfect infinitive, such as te hebben gewerkt, refers to an earlier situation. These constructions help separate observed facts from impressions without requiring an impersonal English it construction.","Use te before the infinitive. Choose the verb according to the evidence. Use a perfect infinitive for an earlier situation.","De nieuwe aanpak blijkt goed te werken.","The new approach turns out to work well.","Hij schijnt de uitnodiging niet te hebben ontvangen.","Apparently, he did not receive the invitation.","Do not treat lijken, blijken and schijnen as interchangeable synonyms.","Extends B1 infinitive complements into evidential meaning.","126","12","false"
"b2-infinitive-meaning-shifts","B2","Recognizing meaning shifts in te constructions","Infinitives","Interpret verbs such as weten, dreigen and beloven when they govern an infinitive.","Some verbs develop a construction-specific meaning with te.","Some verbs develop a construction-specific meaning with te. Weten te often means manage to, while dreigen te can mean that an undesirable event is about to happen, without a person issuing a threat. Beloven te can express a promising prospect as well as an actual promise, depending on its subject. Interpret the whole construction. An inanimate subject may be a useful clue that the verb is not describing a deliberate speech act.","Read the governing verb together with its infinitive. Distinguish literal speech acts from event-related meanings. Check the subject and context.","Het team wist de achterstand in te halen.","The team managed to make up the deficit.","De onderhandelingen dreigen vast te lopen.","The negotiations are threatening to break down.","Do not translate weten te as know to in every sentence.","Adds constructional meanings beyond B1 subject-controlled infinitives.","127","12","false"
"b2-perception-perfect","B2","Reporting perceived actions in the perfect","Infinitives","Combine perception verbs with the replacement infinitive and preserve the performer.","In a perfect construction such as ik heb haar zien vertrekken, zien is a replacement infinitive and haar is the performer of vertrekken.","In a perfect construction such as ik heb haar zien vertrekken, zien is a replacement infinitive and haar is the performer of vertrekken. The final action is presented as something perceived. Compare this with ik heb gezien dat zij vertrok, which uses an ordinary participle and a finite content clause. The two patterns can differ in perspective and emphasis. Keep te out of the ordinary object-plus-perception-infinitive pattern.","Use heb plus object plus zien/horen plus infinitive. Use gezien/gehoord in an appropriate finite-clause alternative. Identify who performs the perceived action.","Ik heb haar het gebouw zien verlaten.","I saw her leave the building.","We hebben gehoord dat de vergadering niet doorgaat.","We heard that the meeting is not going ahead.","Avoid: Ik heb haar gezien te vertrekken.","Extends b1-laten-and-perception and b1-perfect-modals.","128","12","false"
"b2-passive-possibility-te","B2","Expressing possibility and necessity with te constructions","Infinitives","Understand expressions such as te bereiken and er valt te ... without inventing an actor.","Zijn plus a te-infinitive can describe something as possible or suitable for an action: de tekst is goed te lezen.","Zijn plus a te-infinitive can describe something as possible or suitable for an action: de tekst is goed te lezen. A modal or adjective in context may add necessity or evaluation. Er valt te ... often presents a possibility or something available to be done. The grammatical subject of zijn is commonly the thing affected by the infinitive, not its performer. These expressions differ from the ordinary active te-clause after proberen.","Distinguish the affected thing from the performer. Interpret possibility or necessity from context. Recognize natural combinations rather than applying the construction to every verb.","De locatie is goed met het openbaar vervoer te bereiken.","The venue is easy to reach by public transport.","Er valt nog veel te verbeteren aan deze werkwijze.","There is still a lot that can be improved about this way of working.","Do not interpret de locatie as the performer of bereiken.","Adds passive-like possibility constructions to the B1 infinitive system.","129","12","false"
"b2-past-counterfactuals","B2","Imagining a different outcome in the past","Conditionals","Use a pluperfect condition and a perfect result for an unreal past alternative.","A past counterfactual describes a situation that did not happen, or is presented as contrary to the known past.","A past counterfactual describes a situation that did not happen, or is presented as contrary to the known past. The condition commonly uses had or was plus a participle. The result may use zou plus a perfect infinitive, or a pluperfect form in a compact alternative. Choose hebben or zijn according to the construction and intended meaning. A counterfactual differs from an ordinary earlier-past explanation because the alternative is imagined.","Use als plus pluperfect for the unreal past condition. Use zou hebben/zijn plus participle for the result when appropriate. Keep the actual and imagined timelines distinct.","Als ik de waarschuwing had gelezen, zou ik een andere route hebben gekozen.","If I had read the warning, I would have chosen a different route.","Als we eerder waren vertrokken, hadden we de trein gehaald.","If we had left earlier, we would have caught the train.","Do not use a present infinitive result when you specifically mean a completed past alternative.","Extends b1-hypothetical-present and b1-pluperfect-sequencing.","130","12","false"
"b2-mixed-conditionals","B2","Linking a past condition to a present consequence","Conditionals","Express an unreal relationship whose condition and result refer to different times.","The condition and result of a hypothetical sentence do not have to refer to the same time.","The condition and result of a hypothetical sentence do not have to refer to the same time. A different past decision can imply a different present situation. A lasting present characteristic can also explain an imagined past outcome. Choose each tense according to its own reference point rather than forcing both clauses into a memorized pair. Add nu or toen when needed to make the intended times clear.","Anchor the condition and result separately. Use explicit time expressions when helpful. Preserve the distinction between a present state and a completed event.","Als ik die opleiding had gevolgd, zou ik nu meer mogelijkheden hebben.","If I had taken that course, I would have more opportunities now.","Als hij beter Frans sprak, had hij het gesprek gisteren zelf kunnen voeren.","If he spoke French better, he could have conducted the conversation himself yesterday.","Do not assume both clauses must refer to the past because one contains had.","Extends past counterfactuals with independently chosen time references.","131","12","false"
"b2-conditional-limits","B2","Setting conditions with mits and tenzij","Conditionals","Distinguish provided that from unless without reversing the condition.","Mits introduces a positive requirement that must be satisfied.","Mits introduces a positive requirement that must be satisfied. Tenzij introduces an exception that prevents the main statement from applying. Both take subordinate word order. Because tenzij already contributes an except-if relationship, adding a negative can reverse the intended meaning. When a condition has practical importance, paraphrase it mentally with als or behalve als to check it. These connectors are useful in careful discussion and written agreements without requiring specialist legal language.","Use mits for a required positive condition. Use tenzij for an exception. Check the scope of any additional negation.","Je kunt deelnemen, mits je je vooraf aanmeldt.","You can take part provided that you register in advance.","We gaan fietsen, tenzij het hard regent.","We will go cycling unless it rains heavily.","Do not use mits when you mean unless.","Extends B1 hypothetical language with explicit limits and exceptions.","132","12","false"
"b2-concessive-conditions","B2","Separating an acknowledged fact from a hypothetical obstacle","Conjunctions","Distinguish hoewel, ook al and zelfs als in more nuanced arguments.","Hoewel usually concedes a fact.","Hoewel usually concedes a fact. Zelfs als can present a hypothetical situation that would not change the conclusion. Ook al can express a factual concession or an imagined obstacle depending on context, and it uses inversion within its own clause. An initial concessive clause is followed by the normal structure of the main clause. Use these differences to avoid presenting an uncertain claim as an established fact.","Use zelfs als for even if when the condition is hypothetical. Use hoewel for a conceded fact. Keep the special inversion after ook al.","Zelfs als iedereen akkoord gaat, moeten we het plan nog toetsen.","Even if everyone agrees, we still need to assess the plan.","Ook al zou het goedkoper zijn, ik kies niet voor die oplossing.","Even if it were cheaper, I would not choose that solution.","Do not make hoewel imply a hypothetical condition when the intended meaning is even if.","Extends b1-concession-hoewel-ook-al into argumentation and hypothetical scope.","133","12","false"
"b2-proportional-comparisons","B2","Relating two changing quantities with hoe ... hoe","Comparisons","Express a systematic relationship between two degrees or quantities.","Hoe ...","Hoe ... hoe links two changing degrees, as in the more ..., the less .... Both parts contain a comparative expression or an equivalent quantity expression. The second part commonly has an ordering pattern such as hoe langer ik wacht, hoe onrustiger ik word. Des te is an alternative in the second part and can give the expression a more formal tone. This is different from a direct question beginning with hoe.","Use a comparative or quantity in each part. Keep each clause's internal structure clear. Recognize des te as an alternative, not an obligatory extra marker.","Hoe beter we ons voorbereiden, hoe soepeler het gesprek verloopt.","The better we prepare, the more smoothly the conversation goes.","Hoe langer ik erover nadenk, des te minder begrijp ik het besluit.","The longer I think about it, the less I understand the decision.","Do not interpret the first hoe as a direct question requiring ordinary question inversion.","Extends B1 degree comparisons to proportional relationships.","134","12","false"
"b2-modal-particles","B2","Using particles to guide the listener's interpretation","Pragmatics","Recognize how wel, toch, eens and maar soften, reinforce or frame an utterance.","Small particles often change the interpersonal meaning without changing the basic proposition.","Small particles often change the interpersonal meaning without changing the basic proposition. Maar can make an invitation more permissive, eens can make a request less abrupt, and toch can invoke a shared expectation. Wel may reassure or contradict a negative assumption. Their effect depends on stress, intonation and context, so one-word English equivalents are unreliable. In formal writing, use them selectively when the intended tone remains clear.","Interpret a particle in its full utterance. Distinguish unstressed particles from stressed contrasts. Avoid stacking particles without understanding the effect.","Kom maar binnen; we hebben nog genoeg tijd.","Come on in; we still have plenty of time.","Dat komt wel goed, denk ik.","I think it will work out all right.","Do not translate maar as but when it is functioning as a permissive particle.","Extends B1 contrast and wishes with pragmatic meaning in modern Netherlands Dutch.","135","12","false"
"b2-pronoun-reference-chains","B2","Keeping pronoun reference clear across sentences","Pronouns","Maintain clear references when several people, objects or ideas are being discussed.","A pronoun should have a recoverable referent.","A pronoun should have a recoverable referent. When two recent noun phrases could both match it, repeating a noun or using a more explicit phrase is often better than adding another pronoun. Dit and dat can point to a whole statement, while hij, zij and het usually maintain a more specific referent. A grammatical agreement match alone does not guarantee that the reader will choose the intended antecedent. Check reference across paragraph boundaries as well as within a sentence.","Repeat a noun when a pronoun would be ambiguous. Distinguish reference to a noun from reference to a whole proposition. Track changes of speaker in reported passages.","Noor besprak het voorstel met Sara. Daarna stuurde Noor een samenvatting.","Noor discussed the proposal with Sara. Noor then sent a summary.","De levering is opnieuw vertraagd. Dat maakt onze planning onzeker.","The delivery has been delayed again. That makes our schedule uncertain.","Do not assume the nearest grammatically matching noun is always the intended referent.","Extends B1 pronouns and reported information to sustained discourse.","136","12","false"
"b2-combined-er-functions","B2","Recognizing several functions served by er","Pronouns","Analyze sentences in which er combines with quantity, location or a preposition.","Er can have a locative, quantitative, prepositional or presentational function.","Er can have a locative, quantitative, prepositional or presentational function. In some sentences one unstressed er serves more than one recoverable role; repeating er for every function is often unnatural. In ik heb er drie van meegenomen, the quantity and the van relationship work together. Presentational and quantitative er can also occur separately in one sentence, as in er staan er nog twee; two occurrences are not automatically wrong. Diagnose each function by restoring the fuller noun or phrase, then choose a natural compact sentence. When the reference would be unclear, repeat the noun instead.","Identify the omitted noun or phrase for each function. Do not mechanically multiply er. Keep the required prepositional element and quantity.","Ik heb er gisteren drie van meegenomen.","I took three of them with me yesterday.","Er staan er nog twee in de gang.","There are still two of them in the corridor.","The two occurrences in the second example have different roles; do not assume all repetition is forbidden.","Extends b1-er-prepositional and b1-er-quantity-in-longer-clauses through combined functions.","137","12","false"
"b2-split-pronominal-adverbs","B2","Separating er, daar and waar from their prepositional elements","Pronouns","Use separated pronominal adverbs while keeping their reference and attachment clear.","Ermee and daarmee can be split when other material intervenes: daar ben ik het niet mee eens.","Ermee and daarmee can be split when other material intervenes: daar ben ik het niet mee eens. Waar compounds in questions and relatives can also be separated in ordinary usage. The prepositional element still belongs to the original combination. Distinguish it from an identical-looking separable verb particle. Stress often favours daar or hier over weak er. For people, a preposition plus a personal or relative pronoun is usually the clearer choice.","Keep track of the governing expression and its preposition. Distinguish a prepositional adverb from a verb particle. Use daar or hier for contrastive reference when appropriate.","Daar heb ik tijdens het overleg al op gewezen.","I already pointed that out during the meeting.","Waar hebben jullie zo lang over gesproken?","What did you talk about for so long?","Do not drop op from wijzen op when the object is replaced by daar.","Extends B1 er and relative-preposition constructions with distance and emphasis.","138","12","false"
"b2-participial-modifiers","B2","Using participles to describe a noun compactly","Participles","Turn suitable event information into an accurate participial modifier.","A participle before a noun can express a resulting condition or a completed action affecting that noun.","A participle before a noun can express a resulting condition or a completed action affecting that noun. It takes the adjective ending required by the noun phrase, as in de onlangs gerenoveerde woning. Present participles can describe an ongoing characteristic, but Dutch uses them more selectively than English -ing modifiers. Keep any accompanying adverb close to the participle. Do not use a participle that assigns the action to the wrong participant.","Apply adjective inflection to an attributive participle. Check whether the noun performs or undergoes the action. Prefer an ordinary relative clause if the compact form is unclear.","De onlangs gepubliceerde resultaten bevestigen onze verwachting.","The recently published results confirm our expectation.","We zoeken een passende oplossing voor beide partijen.","We are looking for a suitable solution for both parties.","Do not leave an attributive participle uninflected merely because it is derived from a verb.","Extends A2 adjective endings and B1 passive meaning into compact noun phrases.","139","12","false"
"b2-reduced-adverbial-clauses","B2","Using compact introductory phrases without a dangling subject","Participles","Condense a suitable adverbial clause while keeping its understood subject correct.","A compact introductory phrase such as eenmaal aangekomen can replace a fuller time clause when its understood subject matches the main-clause subject.","A compact introductory phrase such as eenmaal aangekomen can replace a fuller time clause when its understood subject matches the main-clause subject. A mismatch creates a dangling construction: a report cannot have arrived at a station simply because its writer did. These structures are common in written narrative and concise explanation. They are not necessary in every formal sentence; a full clause is often clearer when there is more than one possible performer.","Make the understood subject match the main-clause subject. Use a full subordinate clause when the actors differ. Avoid compressing away an essential time relationship.","Eenmaal aangekomen op het station, zochten we het juiste perron.","Once we had arrived at the station, we looked for the right platform.","Na de gegevens te hebben gecontroleerd, verstuurde zij het rapport.","After checking the data, she sent the report.","Avoid: Aangekomen op het station, vertrok de trein when the intended arrival concerns the passengers.","Extends B1 infinitive clauses and B2 participial modifiers to compact adverbial structures.","140","12","false"
