"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"a1-demonstratives","A1","Pointing with deze, die, dit and dat","Pronouns","Choose deze, die, dit or dat before a noun.","Point to things nearby or farther away using the noun's article and number.","Demonstratives identify which person or thing you mean. Before a singular de-word, use deze for something nearby and die for something farther away: deze fiets, die fiets. Before a singular het-word, use dit and dat: dit huis, dat huis.

All plural nouns use deze or die: deze huizen, die fietsen. The noun's singular het does not carry over to its plural. A demonstrative replaces the article; do not put de or het between the demonstrative and the noun.

Distance can be physical or conversational. Die fiets can mean a bicycle farther away or the bicycle someone has already mentioned. First practise the four forms with nouns whose articles you know.","Use deze/die with singular de-words and all plurals; use dit/dat with singular het-words.","Deze fiets is nieuw.","This bicycle is new.","Dat huis is groot.","That house is big.","Say 'deze huizen', not 'dit huizen': every plural uses deze or die.","Standalone demonstratives and identification with dit zijn are extended in A2.","13","4","false"
"a1-possessives","A1","Saying whose things they are","Possession","Choose a possessive determiner, including ons and onze.","Say whose family member, object or home you mean.","Before a noun, the possessive forms are mijn (my), je or stressed jouw (your, singular informal), uw (your, formal), zijn (his), haar (her), ons/onze (our), jullie (your, plural) and hun (their). They replace an article: mijn boek, not de mijn boek. The owner determines the possessive, not the gender of the thing owned.

Most forms stay the same with different nouns and plurals: mijn fiets, mijn huis, mijn boeken. Our is the main exception. Use ons before a singular het-word and onze before a singular de-word or any plural: ons huis, onze fiets, onze huizen.

Use jouw when contrasting owners: jouw tas, niet mijn tas. The unstressed je is normal in everyday speech. Do not confuse possessive jouw with subject jij.","A possessive replaces the article; our is ons with a singular het-word and onze with de-words and plurals.","Ons huis is klein.","Our house is small.","Onze buren hebben een hond.","Our neighbours have a dog.","Write 'jouw fiets', not 'jij fiets'. Jij is a subject pronoun.","Possession with van mij and people's names is introduced in A2.","14","5","false"
"a1-adjective-position","A1","Describing people and things","Adjectives","Distinguish an adjective before a noun from an adjective after zijn.","Describe a thing directly or make a sentence about its quality.","An adjective describes a quality, such as groot, klein or mooi. Dutch commonly puts it directly before a noun: een mooie tuin. This use often needs an ending, explained in the next lesson.

You can also describe the subject after zijn: de tuin is mooi. In this position the adjective does not receive the noun-related -e ending. The same is true with a plural subject: de tuinen zijn mooi.

These patterns express similar information but build different sentences. In de mooie tuin, the adjective belongs inside a noun phrase; the phrase alone is not a complete statement. De tuin is mooi contains a subject and a verb and can stand as a complete sentence.","An adjective before a noun may take -e; an adjective used as a description after zijn has no agreement ending.","De mooie tuin is groot.","The beautiful garden is big.","De kamers zijn klein.","The rooms are small.","Say 'De kamers zijn klein', not 'De kamers zijn kleine'. A plural subject does not add -e here.","This lesson separates the two positions; the next lesson explains endings before nouns.","15","3","false"
"a1-adjective-endings","A1","Adding -e to an adjective","Adjectives","Apply the basic -e pattern before de-words, het-words and plurals.","Contrast een groot huis with het grote huis and een grote tuin.","Before most nouns an adjective takes -e: de grote tuin, een grote tuin, het grote huis and de grote huizen. A possessive or demonstrative also normally requires -e: mijn grote huis, dit grote huis.

The central exception is an indefinite singular het-word. With een or geen, use the adjective without -e: een groot huis, geen groot huis. An uncountable het-word without a determiner also has the uninflected form: koud water. Compare het koude water, where het makes the reference definite.

Keep spelling consistent with the sound: groot becomes grote; dik becomes dikke. Do not apply the indefinite het exception to plurals: grote huizen and geen grote huizen still take -e. Special adjective classes and fixed expressions come later.","Normally add -e before a noun; omit it for an indefinite singular het-word, as in een groot huis or koud water.","We hebben een kleine tuin.","We have a small garden.","Dit kleine huis heeft een groot raam.","This small house has a large window.","Say 'een groot huis', but 'het grote huis'. The noun's article and the determiner both matter.","Use the basic pattern first. Material adjectives and fixed combinations are covered in A2.","16","5","false"
"a1-negation-geen","A1","Saying no or not a with geen","Negation","Negate indefinite noun phrases with geen.","Use geen for no or not a when talking about things, amounts or occupations.","Geen negates an indefinite noun phrase. It commonly replaces een: ik heb een fiets becomes ik heb geen fiets. It can also appear where a positive sentence has no article: ik drink koffie becomes ik drink geen koffie.

Use geen with an indefinite plural too: we hebben geen kinderen. It comes before any adjective: geen grote tas, geen koud water. For an occupation without an article, use the same pattern: zij is geen arts.

A definite or possessive noun phrase normally needs niet instead: dit is niet mijn tas. The choice depends on what you are negating, not simply on whether a noun occurs somewhere in the sentence. Begin by identifying the complete noun phrase.","Use geen before an indefinite noun phrase that would otherwise have een or no article.","Ik heb geen auto.","I do not have a car.","We drinken geen melk.","We do not drink milk.","For an ordinary statement of absence, say 'geen auto', not 'niet een auto'. Niet een can occur in special contrasts.","Geen can translate English no, not a or not any; it does not require a plural noun.","17","4","false"
"a1-negation-niet","A1","Making a sentence negative with niet","Negation","Place niet in short sentences and distinguish it from geen.","Negate an action, a description or a definite thing.","Use niet when geen does not negate the intended noun phrase. Put niet before a descriptive adjective: de winkel is niet open. Put it before a location phrase when denying that location: ik woon niet in Amsterdam.

With a simple verb and no other material, niet follows the verb: ik rook niet. With a definite direct object, it commonly follows that object: ik ken die man niet. With a possessive phrase after zijn, use niet before the phrase: dit is niet mijn jas.

These are starting patterns, not a rule that niet always goes last. Longer sentences can place verbs or other information after niet. Later lessons explain the verb bracket and how moving niet changes a contrast.","Use niet for actions, descriptions and definite references; place it before a denied adjective or location phrase and commonly after a definite direct object.","De winkel is niet open.","The shop is not open.","Ik ken die man niet.","I do not know that man.","Say 'Ik drink geen koffie' for not drinking coffee in general; 'niet koffie' needs a contrast such as coffee versus tea.","Do not memorise 'niet always last'. Its position depends on the sentence and what is being denied.","18","5","false"
"a1-object-pronouns","A1","Using me, you, him and her as objects","Pronouns","Replace a person or thing receiving an action with an object pronoun.","Use forms such as mij, jou, hem, haar and ons after verbs or prepositions.","A subject performs or experiences the action; an object is another participant. Compare ik zie Anna and Anna ziet mij. The common object forms are me/mij, je/jou, u, hem, haar, het, ons, jullie and ze. The unstressed me, je and ze are common in conversation; mij and jou can carry emphasis.

After a preposition referring to a person, use an object form: met mij, voor jou, bij haar. Do not use subject forms ik or jij there. For a singular thing, het can replace a het-word: ik lees het, referring to het boek. Learn suitable reference forms with the noun; not every thing is automatically het.

At this stage, use short sentences with one object. A2 extends pronoun order and the more formal distinction between hen and hun.","Use object forms such as mij, jou and ons as objects and after prepositions referring to people.","Mijn buurman helpt me.","My neighbour helps me.","Deze brief is voor jou.","This letter is for you.","Say 'voor mij', not 'voor ik'. A preposition needs the object form here.","Use ze for an unstressed plural object in everyday speech; A2 explains careful written hen/hun usage.","19","4","false"
"a1-place-prepositions","A1","Saying where things are","Prepositions","Describe a simple location or destination with common prepositions.","Distinguish being in or near a place from going to it.","A preposition introduces a relationship with a noun phrase. Useful location words include in (in), op (on), onder (under), naast (next to), achter (behind), voor (in front of) and bij (at or near). Keep the noun phrase together: naast het station, onder de tafel.

Naar usually marks a destination: ik ga naar school. In usually describes being inside: ik ben in de school. Some everyday combinations are conventional: op school means at school; thuis means at home; naar huis means homeward. Learn these as complete phrases.

A preposition does not always match one English word. Bij de dokter can mean at the doctor's, and voor can mean for in another context. Practise the location meaning first and use the whole sentence to choose a translation.","Use a location preposition for where something is and naar for a destination; learn conventional phrases such as thuis and naar huis.","De tas ligt onder de tafel.","The bag is under the table.","We gaan naar het station.","We are going to the station.","Say 'Ik ga naar huis', not 'Ik ga thuis'. Thuis describes being at home.","Dutch often uses liggen, staan or zitten to describe position. Learn these common verbs with useful place phrases.","20","4","false"
"a1-time-prepositions","A1","Saying when things happen","Prepositions","Introduce clock times, days and longer periods with suitable prepositions.","Make simple appointments using om, op, in and van ... tot.","Use om for a clock time: om negen uur. Use op for a day or date: op maandag, op 12 mei. Use in for months, years and seasons: in april, in 2026, in de winter. A time range commonly uses van ... tot: van negen tot vijf.

Words such as vandaag, morgen and gisteren normally stand without a preposition: ik werk morgen. Some useful time phrases are fixed: 's morgens, 's middags and 's avonds. Learn their spelling as complete expressions.

Dutch half negen means 8:30, halfway towards nine, not 9:30. Kwart over acht is 8:15; kwart voor negen is 8:45. Combine these time expressions with om when giving an appointment time.","Use om with clock times, op with days and dates, and in with months, years and seasons; vandaag and morgen normally need no preposition.","De les begint op dinsdag om half negen.","The lesson starts on Tuesday at half past eight.","Ik werk van negen tot vijf.","I work from nine to five.","Om half negen means at 8:30, not at 9:30.","Dutch normally writes weekdays and months with a lowercase letter. Duration with sinds and al is an A2 extension.","21","5","false"
"a1-time-manner-place","A1","Adding when, how and where","Word Order","Build a neutral sentence containing time, manner and place information.","Use a helpful default order without treating it as an absolute rule.","After the subject and finite verb, a useful neutral pattern is time, manner, place or destination. In ik ga morgen met de bus naar Utrecht, morgen gives the time, met de bus tells how, and naar Utrecht gives the destination.

A whole time phrase may move to the first position. The finite verb still comes second and the subject follows it: morgen ga ik met de bus naar Utrecht. Do not put the subject before the verb again after that opening phrase.

This pattern helps you build a clear beginner sentence. It is not a complete law of Dutch word order: emphasis, pronouns and the information already known can change the order. Practise one time phrase and one destination before adding more details.","A useful neutral pattern is subject + finite verb + time + manner + place; a fronted time phrase triggers inversion.","Ik ga morgen met de trein naar Leiden.","I am going to Leiden by train tomorrow.","Morgen ga ik met de trein naar Leiden.","Tomorrow I am going to Leiden by train.","Write 'Morgen ga ik ...', not 'Morgen ik ga ...'. The whole opening time phrase occupies the first position.","English translations use natural English order rather than copying Dutch word order.","22","4","false"
"a1-modals-ability-permission","A1","Using kunnen and mogen","Modal Verbs","Use kunnen and mogen with an infinitive to express ability and permission.","Place the modal in the finite-verb position and the action verb near the end.","A modal adds a meaning such as ability or permission to another action. Kunnen commonly expresses ability or possibility; mogen commonly expresses permission. The modal changes for the subject. The action verb stays an infinitive without te.

Useful forms are ik kan, jij kunt/kan, u kunt/kan, hij/zij kan, wij/jullie/zij kunnen; and ik/jij/u/hij/zij mag, wij/jullie/zij mogen. In a neutral main clause, put the infinitive at the end: ik kan goed zwemmen. In a question, move the finite modal first: mag ik hier zitten?

Cannot and may not differ. Je kunt hier niet parkeren can describe impossibility; je mag hier niet parkeren directly states that parking is forbidden. Context may make a practical request sound similar, but learn the core meanings separately.","Use finite kunnen or mogen plus an infinitive without te; the infinitive normally closes a simple main clause.","Ik kan goed zwemmen.","I can swim well.","Mag ik hier zitten?","May I sit here?","Say 'Ik kan zwemmen', not 'Ik kan te zwemmen' or 'Ik kan zwem'.","Both jij kunt and jij kan are standard. Kunt becomes kun before subject jij/je: kun je zwemmen?","23","5","false"
"a1-modals-obligation-wishes","A1","Using moeten and willen","Modal Verbs","Express an obligation or a wish with moeten and willen.","Use the modal-and-infinitive pattern for everyday needs and intentions.","Moeten commonly expresses necessity or obligation: ik moet werken. Its singular present form is moet and its plural is moeten. Willen expresses a wish or willingness. Use ik wil, jij wilt/wil, u wilt/wil, hij/zij wil and plural willen. In neutral careful writing, jij wilt and u wilt are useful starting forms.

The second verb remains an infinitive without te at the end of a simple main clause: wij willen vandaag koken. Put niet before that infinitive when denying willingness: ik wil niet wachten.

For a clear prohibition, use mogen niet. To say that something is unnecessary, Dutch often uses niet hoeven te, introduced later. Do not translate English must not word for word and assume niet moeten always conveys the intended meaning in every context.","Use finite moeten or willen with a final infinitive without te; hij/zij wil has no added -t.","We moeten vandaag werken.","We have to work today.","Zij wil Nederlands leren.","She wants to learn Dutch.","Write 'hij wil', not 'hij wilt'. The third-person singular of willen is wil.","A2 introduces hoeven with te for lack of necessity. Use mag niet for a straightforward statement that something is forbidden.","24","5","false"
"a1-separable-present","A1","Separating verbs such as opstaan","Separable Verbs","Separate the prefix of a common separable verb in a present-tense main clause.","Understand the connection between opstaan and ik sta op.","Some Dutch verbs contain a separable first part, such as opstaan, aankomen and schoonmaken. When that verb is the finite verb of a main clause, its first part normally moves to the end: ik sta om zeven uur op. The remaining verb changes for the subject: hij staat op.

In a yes/no question the finite part moves first, but the prefix still comes later: sta je vroeg op? A subject jij or je after sta does not add -t.

With a modal, the whole separable verb is an infinitive and stays together: ik moet vroeg opstaan. Learn the meaning and separability with each new verb. A verb that merely looks as if it has a prefix is not necessarily separable.","Split a separable finite verb in a main clause, but keep its infinitive together after a modal.","Ik sta om zeven uur op.","I get up at seven o'clock.","We moeten vroeg opstaan.","We have to get up early.","Say 'Ik sta vroeg op', not 'Ik opsta vroeg'. After moet, however, use the whole infinitive opstaan.","Perfect-tense separable forms close the A1 sequence; joined forms in subordinate clauses are taught in A2.","25","5","false"
"a1-imperative","A1","Giving simple instructions","Verbs","Form a short instruction or request using the imperative.","Give directions and simple instructions with an appropriate tone.","The ordinary modern imperative usually uses the verb stem without a subject: kom binnen, lees de tekst. The same form can address one person or a group. Zijn has the special imperative wees: wees voorzichtig.

A separable verb separates: doe de deur dicht. For a negative instruction, use niet or geen according to what is negated: rook niet; maak geen lawaai. The prefix of a separable verb can still follow niet.

A bare imperative may sound direct. Alstublieft or alsjeblieft can make a practical instruction friendlier; a modal question such as kunt u mij helpen? is often suitable when requesting help from a stranger. Tone and situation matter as well as grammar.","Use the stem without a subject for an ordinary imperative; use wees for zijn and split separable verbs.","Lees de tekst, alsjeblieft.","Read the text, please.","Doe de deur dicht.","Close the door.","Use 'Kom binnen' when addressing a group too; do not add -en just because several people are listening.","Old-fashioned plural imperatives are outside this beginner course.","26","3","false"
"a1-coordination","A1","Joining ideas with en, maar, of and want","Conjunctions","Join two main clauses with en, maar, of or want.","Connect an addition, contrast, choice or reason while keeping main-clause word order.","En adds information, maar contrasts it, of offers a choice, and want gives a reason. These coordinating conjunctions can join two main clauses: ik blijf thuis, want ik ben moe. The clause after the conjunction keeps main-clause word order.

The conjunction itself does not count as the first position inside the following clause. You can put a time phrase after it, but then use inversion: ik werk vandaag, maar morgen ben ik vrij. When two clauses share a subject, Dutch can sometimes omit the repeated subject; practise complete clauses first.

Want and omdat can both introduce a reason, but they use different structures. This lesson uses want only. A2 introduces subordinate-clause order after omdat.","En, maar, of and want join clauses without changing each clause's main-clause verb-second pattern.","Ik blijf thuis, want ik ben moe.","I am staying home because I am tired.","Ik werk vandaag, maar morgen ben ik vrij.","I am working today, but tomorrow I am off.","Write 'want ik ben moe', not 'want ik moe ben'. Want does not introduce a subordinate clause.","Of also has a separate use meaning whether in A2 indirect questions.","27","4","false"
"a1-existential-er","A1","Introducing things with er is and er zijn","Sentence Structure","Introduce the existence of a person or thing with er is or er zijn.","Say that something is present without assuming the listener already knows it.","Er is and er zijn often introduce something new: er is een supermarkt in de straat. English commonly uses there is or there are. Er here does not point to a distant location like daar; the location can be given separately.

The noun phrase determines the verb's number: er is een winkel, er zijn twee winkels. For a question, place the finite verb first: is er een winkel? Use geen to deny the existence of an indefinite thing: er is geen lift.

Dutch also uses position verbs in this pattern: er staat een fiets buiten; er liggen boeken op tafel. Start with is and zijn, then recognise these natural extensions. Do not confuse introducing a new thing with describing an already identified thing: de winkel is open.","Use er is with a singular thing and er zijn with plural things when introducing their presence.","Er is een supermarkt in deze straat.","There is a supermarket in this street.","Zijn er vrije stoelen?","Are there any available chairs?","Say 'Er zijn twee winkels', not 'Er is twee winkels'. The plural noun phrase needs zijn.","A2 separately teaches er referring to a known place and er replacing a counted noun.","28","4","false"
