"lesson_id","cefr_level","title","category","learning_objective","summary","explanation","rule","example_dutch_1","example_english_1","example_dutch_2","example_english_2","common_mistake","notes","sort_order","estimated_minutes","is_sample"
"b1-passive-present","B1","Introducing the present passive","Passive Voice","Make the receiver of an action the subject when the actor is less important.","A passive sentence usually makes the active direct object its subject.","A passive sentence usually makes the active direct object its subject. Use worden in the appropriate tense with a past participle. The new subject determines agreement. A door phrase can name the actor, but omit it when it is unknown, obvious or irrelevant. The passive is useful for processes and announcements; it is not necessary whenever English uses a passive. The participle does not take an adjective ending in this verbal construction.","Use wordt for a singular subject and worden for a plural subject. Keep the participle unchanged. Use door only when the actor matters.","De aanvraag wordt binnen twee weken beoordeeld.","The application is assessed within two weeks.","De fietsen worden door vrijwilligers gerepareerd.","The bicycles are repaired by volunteers.","Avoid: De aanvraag is beoordeeld when you mean an ongoing or repeated assessment process.","Introduces a structure not taught as a separate A1/A2 lesson.","83","12","false"
"b1-passive-past","B1","Describing past processes with werd and werden","Passive Voice","Use the simple-past passive in a narrative or description.","Werd and werden place a passive process in the past.","Werd and werden place a passive process in the past. They agree with the passive subject, while the participle stays the same. This construction can describe a single event, a repeated practice or an action in progress, depending on context. Compare werd gecontroleerd with was gecontroleerd: the first presents the checking as a past event or process; the second normally looks back at a completed check or describes the resulting state.","Use werd or werden plus a participle. Match the finite verb to the passive subject. Use context to distinguish one event from repetition.","Tijdens de verbouwing werd de ingang tijdelijk verplaatst.","During the renovation, the entrance was temporarily moved.","Vroeger werden de kaartjes aan het loket verkocht.","In the past, tickets were sold at the counter.","Do not use worden as an invariant form after a past subject.","Builds on b1-passive-present and A2 narrative past forms.","84","12","false"
"b1-passive-perfect","B1","Reporting a completed passive event","Passive Voice","Use zijn plus a participle to report that a passive action has been completed.","The ordinary Dutch perfect passive uses zijn and the lexical past participle.","The ordinary Dutch perfect passive uses zijn and the lexical past participle. Unlike English has been, Dutch normally does not add geworden in this construction. Is geopend may describe the completed act of opening, while is open describes the state with an adjective. Context can make a participle ambiguous between a passive result and an adjectival description. Use an active sentence or a process expression when the difference needs to be explicit.","Use is or zijn plus the participle for the perfect passive. Use was or waren for an earlier completed passive event. Do not routinely add geworden.","Uw betaling is ontvangen.","Your payment has been received.","Toen ik belde, was het probleem al opgelost.","When I called, the problem had already been solved.","Avoid inserting geworden simply to imitate English been in every perfect passive.","Extends the passive sequence; auxiliary zijn here does not depend on the active verb taking zijn.","85","12","false"
"b1-relative-prepositions","B1","Using prepositions in relative clauses","Relative Clauses","Refer to people with preposition plus wie and to things with waar compounds.","When a relative clause needs a preposition, a person is commonly referred to with forms such as met wie or aan wie.","When a relative clause needs a preposition, a person is commonly referred to with forms such as met wie or aan wie. A thing is commonly referred to with a waar compound such as waarmee or waaraan. Some combinations change form: met becomes mee and tot becomes toe. The prepositional element can be separated from waar in many ordinary sentences. Retain the preposition required by the verb rather than copying the English pattern.","Use met wie for a person and waarmee for a thing. Keep the verb's required preposition. Recognize joined and separated waar constructions.","Dat is de collega met wie ik het project uitvoer.","That is the colleague with whom I am carrying out the project.","Dit is het gereedschap waarmee we de kast hebben gemaakt.","These are the tools with which we made the cupboard.","Avoid: de collega met dat ik werk.","Extends a2-relative-die-dat and a2-fixed-prepositions.","86","12","false"
"b1-relative-wat","B1","Using wat after general antecedents and whole clauses","Relative Clauses","Distinguish ordinary die/dat agreement from common uses of relative wat.","Relative wat is used after general antecedents such as alles, iets and niets, and when the antecedent is an entire preceding statement.","Relative wat is used after general antecedents such as alles, iets and niets, and when the antecedent is an entire preceding statement. With an ordinary singular het-noun, dat remains the usual choice. An entire idea does not have the grammatical gender of the nearest noun. Ask exactly what the relative clause comments on. After a nominalized superlative, wat is also common, as in het mooiste wat ik heb gezien.","Use wat after alles and niets. Use wat to refer to a whole preceding clause. Retain dat after an ordinary singular het-noun.","Hij kwam een uur te laat, wat iedereen verbaasde.","He arrived an hour late, which surprised everyone.","Dit is alles wat ik over het plan weet.","This is everything I know about the plan.","Avoid replacing dat with wat after every noun simply because English uses what or which.","Adds antecedent scope beyond a2-relative-die-dat.","87","12","false"
"b1-embedded-relative-clauses","B1","Keeping the main clause intact around a relative clause","Relative Clauses","Insert a relative clause without losing the subject and finite verb of the main clause.","A relative clause can interrupt the main clause immediately after its antecedent.","A relative clause can interrupt the main clause immediately after its antecedent. The inserted clause has its own subject and final verb group. Once it ends, continue the original main-clause structure. Agreement in the main clause follows the original subject, not the nearest noun inside the relative clause. When a sentence becomes difficult to follow, move information into a second sentence rather than stacking several relatives.","Identify the antecedent and mark the end of its relative clause. Resume the main clause after the insertion. Match main-clause agreement to its own subject.","De medewerker die onze aanvragen behandelt, is deze week afwezig.","The employee who handles our applications is absent this week.","Het boek dat mijn vrienden mij hebben aangeraden, ligt op tafel.","The book my friends recommended to me is on the table.","Do not make the main verb plural because vrienden occurs inside the relative clause.","Extends A2 relative clauses to interrupted main clauses and agreement across an insertion.","88","12","false"
"b1-indirect-questions-coordination","B1","Combining indirect questions in a request","Questions","Ask about several unknown details while maintaining indirect-question order.","An indirect question is embedded under a phrase such as kunt u uitleggen or ik wil weten.","An indirect question is embedded under a phrase such as kunt u uitleggen or ik wil weten. Use of for a yes/no question and a question word for a specific unknown detail. Each coordinated indirect question keeps subordinate order. You may repeat the question word or of to make the structure clear. A sentence can be a polite direct request overall while containing indirect questions inside it; the two levels follow different word-order patterns.","Use of for whether. Put the verb group at the end of each embedded question. Distinguish main-clause inversion from embedded order.","Kunt u uitleggen waar ik me moet aanmelden en welke documenten ik nodig heb?","Could you explain where I should register and which documents I need?","Ik wil weten of de training doorgaat en of ik online kan deelnemen.","I want to know whether the training is going ahead and whether I can take part online.","Avoid carrying the inversion of the main question into every embedded question.","Extends a2-indirect-questions to coordinated information requests.","89","12","false"
"b1-reported-speech","B1","Adjusting person and time in reported information","Reported Speech","Report someone's statement while choosing pronouns and time expressions from the new viewpoint.","A report often uses a dat-clause.","A report often uses a dat-clause. Change first-person pronouns to match the person being reported and make time or place references unambiguous. Dutch does not require an automatic English-style tense backshift whenever the reporting verb is past. A present tense can remain appropriate when the information is still true. A past tense can locate the information in the original situation or create distance. Choose the intended meaning rather than applying a mechanical replacement list.","Adjust person references. Change morgen or hier only when the reporting context requires it. Select tense according to time and continuing validity.","Sara zei dat ze de volgende dag thuis zou werken.","Sara said that she would work from home the next day.","De arts vertelde dat regelmatige beweging belangrijk is.","The doctor said that regular exercise is important.","Do not automatically change every present tense to a past tense after zei.","Extends a2-dat-clauses with reporting perspective and time reference.","90","12","false"
"b1-reported-requests","B1","Reporting requests and instructions","Reported Speech","Turn direct requests into an appropriate infinitive or question construction.","A request can be reported with vragen plus a person and an om te-clause.","A request can be reported with vragen plus a person and an om te-clause. The person asked normally performs the infinitive action. A request phrased as a question can also be reported with of and a finite clause. Instructions may use zeggen dat or an appropriate verb such as verzoeken, depending on register. Do not translate every English tell someone to with a single fixed Dutch pattern; choose a natural reporting verb and make the performer clear.","Use iemand vragen om iets te doen. Use of when reporting the content of a yes/no question. Keep the addressee and performer aligned.","Mijn collega vroeg me om het verslag na te kijken.","My colleague asked me to check the report.","De docent vroeg of we de opdracht thuis konden afmaken.","The teacher asked whether we could finish the assignment at home.","Avoid om te-clauses with an unintended performer.","Adds object-controlled infinitives to the A2 dat-clause and purpose-clause patterns.","91","12","false"
"b1-infinitive-performers","B1","Understanding who performs an infinitive","Infinitives","Distinguish infinitives controlled by the subject from those controlled by an object.","In ik beloof te komen, the subject of beloof is also the understood subject of komen.","In ik beloof te komen, the subject of beloof is also the understood subject of komen. In ik vraag hem om te komen, hem identifies the expected performer. Not every main verb permits both structures, so learn the construction with the verb. A finite dat-clause is useful when you need an explicit subject or cannot use the infinitive pattern. Reflexive pronouns inside the infinitive must refer to the correct person.","Learn a verb together with its complement pattern. Identify the understood subject of the infinitive. Use a finite clause when a separate subject is needed.","Ik beloof het document vandaag te versturen.","I promise to send the document today.","We vragen de deelnemers om zich vooraf aan te melden.","We ask participants to register in advance.","In the second example, zich refers to de deelnemers, not to we.","Extends a2-te-infinitives beyond the presence or absence of te.","92","12","false"
"b1-purpose-om-te-zodat","B1","Choosing om te or zodat for a purpose","Infinitives","Express a purpose without accidentally assigning it to the wrong person.","Om te presents an infinitive purpose with an understood performer, normally linked to the main clause.","Om te presents an infinitive purpose with an understood performer, normally linked to the main clause. Zodat introduces a finite clause and can state a different subject explicitly. Zodat can express an intended result or an actual result; context and modal verbs help distinguish them. If a short infinitive clause would make the performer unclear, choose a finite clause. The words om and te have separate structural roles, so intervening objects belong between them.","Use om plus the infinitive clause with te. Use zodat when an explicit different subject is needed. Distinguish purpose from an unintended consequence.","Ik zet een herinnering in mijn agenda om de afspraak niet te vergeten.","I put a reminder in my diary so that I do not forget the appointment.","Ik stuur je de link zodat je je kunt aanmelden.","I am sending you the link so that you can register.","Avoid an om te-clause that wrongly suggests the sender will perform the recipient's action.","Extends a2-om-te through subject control and purpose/result contrasts.","93","12","false"
"b1-without-instead-infinitives","B1","Using zonder te and in plaats van te","Infinitives","Describe an omitted or alternative action using an infinitive clause.","Zonder te describes an action that does not accompany the main action.","Zonder te describes an action that does not accompany the main action. In plaats van te presents an alternative that was not chosen. As with other infinitive clauses, the understood performer must be recoverable from the main clause. Use zonder dat with an explicit subject when the two actions involve different performers. Do not add an extra niet after zonder unless you deliberately mean a more complex negative meaning.","Use zonder plus te and an infinitive. Use in plaats van plus te for an unchosen alternative. Use zonder dat when a separate subject is required.","Hij vertrok zonder afscheid te nemen.","He left without saying goodbye.","In plaats van te klagen, kunnen we samen een oplossing zoeken.","Instead of complaining, we can look for a solution together.","Avoid translating without by zonder niet; zonder already contributes the negative meaning.","Extends A2 infinitive clauses with negative accompaniment and alternatives.","94","12","false"
"b1-perfect-modals","B1","Using two infinitives after a perfect auxiliary","Modal Verbs","Recognize the replacement infinitive with a modal and its dependent infinitive.","When a modal governs another infinitive in the perfect, Dutch commonly uses the modal infinitive instead of its participle.","When a modal governs another infinitive in the perfect, Dutch commonly uses the modal infinitive instead of its participle. This is called the replacement infinitive or infinitivus pro participio. Compare ik heb gewerkt with ik heb moeten werken. The perfect auxiliary is normally hebben in this modal construction, even when the final verb alone would use zijn. This does not mean the modal participle never exists; the construction with a dependent infinitive is the key.","Use heb plus modal infinitive plus lexical infinitive. Do not insert te after an ordinary modal. Learn the construction rather than translating each English verb separately.","Ik heb gisteren langer moeten werken.","I had to work longer yesterday.","Zij heeft niet kunnen komen.","She was unable to come.","Avoid: Zij is niet gekund komen.","Introduces IPP beyond A2 perfect and modal constructions; larger subordinate groups follow at B2.","95","12","false"
"b1-laten-and-perception","B1","Using laten, zien and horen with an infinitive","Infinitives","Describe causing, allowing or perceiving someone else's action.","Laten can mean allow or have something done, depending on context.","Laten can mean allow or have something done, depending on context. It takes an infinitive without te. Verbs such as zien and horen can also take an object plus an infinitive to describe an action being perceived. The object identifies the performer in examples such as ik hoor hem zingen. With laten repareren, the object may instead be the thing repaired. Interpret the roles from the whole construction rather than assuming every object performs the final verb.","Use laten, zien or horen plus an infinitive without te in these patterns. Distinguish the performer from the thing affected. Use context to distinguish permission and arrangement.","Ik laat mijn fiets morgen repareren.","I am having my bicycle repaired tomorrow.","We hoorden de buren zingen.","We heard the neighbours singing.","Avoid adding te automatically after laten or in these perception constructions.","Extends the A2 infinitive system with causative and perception complements.","96","12","false"
"b1-posture-and-duration","B1","Choosing a progressive construction to match the action","Verbs","Distinguish aan het from posture-verb constructions and continuing actions.","Aan het plus infinitive presents an activity in progress.","Aan het plus infinitive presents an activity in progress. Zitten, staan, liggen and lopen with te can add information about posture or the way an activity continues. These expressions are not always literal, especially in conversational use, but a literal posture should still make sense in a neutral description. Blijven plus infinitive expresses continuation and normally has no te. Choose the construction for meaning, not simply because English has an -ing form.","Use aan het for an ongoing activity. Use posture verb plus te when posture or manner is relevant. Use blijven plus infinitive without te.","De kinderen liggen boven te slapen.","The children are sleeping upstairs.","We bleven zoeken totdat we de sleutel vonden.","We kept looking until we found the key.","Avoid te after blijven in the ordinary continuation construction.","Extends a2-progressive with meaningful contrasts and the continuation construction.","97","12","false"
"b1-separability-and-meaning","B1","Using stress and meaning to distinguish verb constructions","Separable Verbs","Recognize that similar spellings can have different separability and meanings.","Some written verb forms represent different verbs depending on stress and meaning.","Some written verb forms represent different verbs depending on stress and meaning. Voorkomen meaning occur is separable, while voorkomen meaning prevent is inseparable. The difference affects main clauses, te-infinitives and participles. Learn a meaning together with its stress pattern and example sentence; do not decide separability from the spelling alone. Most prefixes have useful tendencies, but ambiguous combinations must be checked individually.","Link separability to a specific meaning. Separable particles split in ordinary finite main clauses. Inseparable prefixes remain attached and normally block ge-.","Zo'n fout komt gelukkig niet vaak voor.","Fortunately, such a mistake does not occur often.","Met een duidelijke planning kunnen we vertraging voorkomen.","With a clear schedule, we can prevent delays.","Do not use one separability label for all meanings of voorkomen.","Extends a2-separable-clause-forms through meaning-sensitive contrasts.","98","12","false"
"b1-reflexive-reciprocal","B1","Distinguishing actions involving yourself from each other","Pronouns","Choose reflexive forms or elkaar according to who acts on whom.","A reflexive pronoun points back to the subject within the relevant clause.","A reflexive pronoun points back to the subject within the relevant clause. Elkaar expresses a reciprocal relationship between two or more participants. With plural subjects the difference matters: ze wassen zich means that each person washes themselves; ze helpen elkaar means that they help one another. Add zelf for contrast when needed, but do not add it to every reflexive verb. Some verbs require a reflexive form as part of their usual meaning.","Use person-appropriate reflexive forms. Use elkaar for mutual actions. Identify the subject of an embedded clause before selecting its reflexive pronoun.","De deelnemers stelden zich eerst voor en hielpen elkaar daarna.","The participants first introduced themselves and then helped one another.","Ik moet mezelf eraan herinneren om rustig te blijven.","I have to remind myself to stay calm.","Do not translate each other as zichzelf.","Extends a2-reflexive-verbs with reciprocity and emphasis.","99","12","false"
"b1-two-object-pronouns","B1","Ordering two objects without losing their roles","Pronouns","Use natural ordering when direct and indirect objects are both short pronouns.","Object order depends on grammatical role, weight and emphasis.","Object order depends on grammatical role, weight and emphasis. With ordinary unstressed personal pronouns, a direct object such as het often comes before an indirect object such as me: geef het me. With two full noun phrases, the indirect object commonly comes first, or an aan phrase makes the roles explicit. These are useful patterns, not a universal rule that every direct object precedes every indirect object. Stressed forms and contrast can change the preferred order.","Use common chunks such as geef het me and ik stuur het je. Distinguish pronoun order from full-noun-phrase order. Use aan when it improves clarity.","Kun je het me morgen uitleggen?","Can you explain it to me tomorrow?","Zij gaf haar collega het originele document.","She gave her colleague the original document.","Avoid transferring the order of two full noun phrases mechanically to het plus me.","Extends a2-object-pronoun-order with two-object contrasts and weight.","100","12","false"
"b1-er-prepositional","B1","Referring to things with er and a preposition","Pronouns","Replace a preposition plus a thing with an appropriate er construction.","For a thing or situation already known, Dutch often uses er plus a prepositional adverb: erop, eraan, ermee.","For a thing or situation already known, Dutch often uses er plus a prepositional adverb: erop, eraan, ermee. The verb's fixed preposition remains part of the construction. The elements can be separated by other words, as in ik denk er vaak aan. For people, a preposition plus a personal pronoun is normally clearer. Met changes to mee and tot to toe. This er is different from the location word and the quantitative er introduced earlier.","Keep the required preposition. Use ermee for met and ertoe for tot. Recognize both joined and separated forms.","Ik heb er gisteren met mijn collega over gesproken.","I spoke about it with my colleague yesterday.","Dat voorstel klinkt goed; ik ben het ermee eens.","That proposal sounds good; I agree with it.","Avoid dropping the preposition from a fixed combination when replacing its object.","Extends a2-er-place and a2-fixed-prepositions with prepositional er.","101","12","false"
"b1-er-quantity-in-longer-clauses","B1","Using quantitative er with quantities and complex verb groups","Pronouns","Retain er when a counted noun is omitted inside a longer clause.","Quantitative er replaces an understood counted noun while a numeral or quantity expression remains.","Quantitative er replaces an understood counted noun while a numeral or quantity expression remains. It can occur with modals, perfect forms and a separate prepositional phrase. Keep the count and the omitted noun compatible; er does not replace any arbitrary object simply because it was mentioned before. When another er construction is also present, Dutch often avoids repeating identical weak forms. At this level, use clear sentences with one quantitative function before combining several functions.","Use er when the counted noun is omitted. Retain the quantity expression. Place er in the middle field before the final verb group.","We hebben twintig stoelen nodig, maar we hebben er pas twaalf kunnen lenen.","We need twenty chairs, but we have only been able to borrow twelve.","Van deze formulieren moet ik er nog drie invullen.","I still have to complete three of these forms.","Avoid omitting er simply because the counted noun appears in the previous sentence.","Extends a2-er-quantity with modal/perfect groups and partitive context.","102","12","false"
"b1-hypothetical-present","B1","Building a hypothetical present situation","Conditionals","Use past forms and zou to present an imagined alternative to the present.","An als-clause with a past tense can describe an unreal or less likely present situation rather than past time.","An als-clause with a past tense can describe an unreal or less likely present situation rather than past time. The result often uses zou plus infinitive. A simple past can also appear in the result, especially in a compact hypothetical statement. Context decides whether the sentence is a real past account or a present hypothesis. Use a present tense for an open real condition when you do not want to imply distance from reality.","Use als plus past tense for a present hypothesis. Use zou plus infinitive for its imagined result. Distinguish grammatical past form from actual past reference.","Als ik dichterbij woonde, zou ik vaker langskomen.","If I lived closer, I would visit more often.","Als we meer tijd hadden, bleven we langer.","If we had more time, we would stay longer.","Do not interpret every past form in an als-clause as a statement about yesterday.","Extends a2-zou with systematic unreal-present contrasts and a result without zou.","103","12","false"
"b1-present-wishes","B1","Expressing wishes with maar and past forms","Conditionals","Use a past form to express a wish about the present.","A wish can begin with a finite verb followed by its subject and maar: was ik maar thuis.","A wish can begin with a finite verb followed by its subject and maar: was ik maar thuis. The past form often describes an unreal present wish, not an event in the past. Kon expresses desired ability or possibility. An als-clause can also frame a wish, often with maar. These expressions are personal and expressive; in a practical request, a polite question may be more appropriate. Past regrets with had plus a participle are developed at B2.","Use inverted past form plus subject plus maar. Use waren with a plural subject. Distinguish a wish from a factual past statement.","Was het maar wat rustiger in de trein!","If only it were a little quieter on the train!","Kon ik maar wat langer blijven!","If only I could stay a little longer!","Do not read was in a wish as proof that the speaker is describing a past event.","Extends hypothetical language beyond a2-zou without yet teaching past counterfactuals.","104","12","false"
"b1-expanded-comparisons","B1","Comparing changes and whole situations","Comparisons","Use comparative phrases to describe a trend or compare complete actions.","Steeds plus a comparative describes a continuing change, while veel, iets and een stuk can qualify the size of a difference.","Steeds plus a comparative describes a continuing change, while veel, iets and een stuk can qualify the size of a difference. Compare clauses as well as nouns, keeping the intended roles clear. Dan is the ordinary standard connector after a comparative; even ... als expresses equality. Net zoals can compare the way two situations happen without requiring a comparative adjective. Avoid treating meer as the default way to form every Dutch comparative.","Use steeds plus comparative for a trend. Use veel or iets to qualify a difference. Keep the subject roles clear in comparisons of clauses.","Het wordt steeds moeilijker om een betaalbare woning te vinden.","It is becoming increasingly difficult to find an affordable home.","Zij werkt veel nauwkeuriger dan ik had verwacht.","She works much more accurately than I had expected.","Avoid: meer moeilijker; do not combine two ordinary comparative markers.","Extends a2-comparatives with degree modifiers, trends and clauses.","105","12","false"
