dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
aflossen,"to redeem, to pay off",B2,verb,Actions and processes,Jullie moeten jullie schulden aflossen.,You must pay off your debts.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aflossen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/4221125) and LittleBoy (English, https://tatoeba.org/en/sentences/show/868505); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,afgelost,,,,false
afpakken,"to snatch, grab, take away",B2,verb,Actions and processes,Waarom zou ik jouw autosleutels afpakken?,Why would I take your car keys?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afpakken#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/4782336) and CK (English, https://tatoeba.org/en/sentences/show/4014917); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,afgepakt,,,,false
afronden,to finish,B2,verb,Actions and processes,Laten we dit afronden.,Let's finish this.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afronden#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/9756195) and CK (English, https://tatoeba.org/en/sentences/show/2007833); CC BY 2.0 FR.",B2;production,,,,regular,true,hebben,afgerond,,,,false
afschaffen,"to abolish, abrogate",B2,verb,Actions and processes,Er was een lange strijd nodig om slavernij af te schaffen.,A long struggle was required to abolish slavery.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/afschaffen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,regular,true,hebben,afgeschaft,,,,false
aftreden,"to resign, abdicate",B2,verb,Actions and processes,Ze zouden zo snel mogelijk moeten aftreden.,They should resign as soon as possible.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/aftreden#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/12378331) and LimeGreenTeknii (English, https://tatoeba.org/en/sentences/show/10275137); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,afgetreden,,,,false
aftrekken,to subtract; to deduct,B2,verb,Actions and processes,Je mag de korting van het totaal aftrekken.,You may subtract the discount from the total.,,B2;production,,,,irregular,true,hebben,afgetrokken,,,,false
arresteren,to arrest,B2,verb,Actions and processes,De politie kan Tom niet arresteren.,The police can't arrest Tom.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/arresteren#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/12659714) and CK (English, https://tatoeba.org/en/sentences/show/1950690); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gearresteerd,,,,false
assisteren,"to assist, act as assistant to",B2,verb,Actions and processes,Tom is hier om ons te assisteren.,Tom is here to assist us.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/assisteren#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/4635349) and CK (English, https://tatoeba.org/en/sentences/show/2957105); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,geassisteerd,,,,false
babbelen,"to chatter, to chit-chat, to talk casually",B2,verb,Actions and processes,Ze zijn allemaal tegelijk begonnen te babbelen.,They all began to chatter at once.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/babbelen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/10784916) and megamanenm (English, https://tatoeba.org/en/sentences/show/10784914); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gebabbeld,,,,false
balen,"to be annoyed, frustrated or fed up",B2,verb,Actions and processes,"Eerst kom je te laat en nu heb jij het cadeau vergeten? Ja, daar baal ik wel van!","First you showed up too late and now you forgot to bring the present? Yes, you bet I am fed up with that!","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/balen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,regular,false,hebben,gebaald,,,,false
bedekken,"to cover, bedeck",B2,verb,Actions and processes,Dit vloerkleed is groot genoeg om de hele vloer te bedekken.,This carpet is big enough to cover the whole floor.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bedekken#Dutch. Example: Citrine (Dutch, https://tatoeba.org/en/sentences/show/1478831) and CM (English, https://tatoeba.org/en/sentences/show/61018); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,bedekt,,,,false
bedelen,"to beg for alms or handouts, to panhandle",B2,verb,Actions and processes,Hij bedelde net genoeg voor een karig maal.,He begged just enough for a meager meal.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bedelen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,regular,false,hebben,gebedeld,,,,false
bedragen,to amount to,B2,verb,Actions and processes,De bouwkosten bedroegen € 125 miljoen.,The building costs amounted to 125 million euros.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bedragen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,irregular,false,hebben,bedragen,,,,false
bedwingen,to restrain,B2,verb,Actions and processes,De politie moest de demonstranten bedwingen om de orde te handhaven.,The police had to restrain the protesters to maintain order.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bedwingen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,irregular,false,hebben,bedwongen,,,,false
begaan,to commit,B2,verb,Actions and processes,Je hebt geen erge misdaad begaan.,You didn't commit a serious crime.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/begaan#Dutch. Example: PaulP (Dutch, https://tatoeba.org/en/sentences/show/4469550) and megamanenm (English, https://tatoeba.org/en/sentences/show/4219303); CC BY 2.0 FR.",B2;production,,,,irregular,false,zijn,begaan,,,,false
begraven,to bury,B2,verb,Actions and processes,Ik zou het in de tuin begraven.,I would bury it in the garden.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/begraven#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/12330207) and CM (English, https://tatoeba.org/en/sentences/show/10910071); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,begraven,,,,false
bekijken,"to look at, to view",B2,verb,Actions and processes,Carlos moet de dingen vanuit een andere hoek bekijken.,Carlos needs to look at things from a different angle.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bekijken#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/12350733) and Amastan (English, https://tatoeba.org/en/sentences/show/11744221); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,bekeken,,,,false
beklimmen,"to climb, to mount",B2,verb,Actions and processes,Het is gevaarlijk bergen te gaan beklimmen met slecht weer.,It's dangerous to climb a mountain in bad weather.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beklimmen#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8324939) and CK (English, https://tatoeba.org/en/sentences/show/278823); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,beklommen,,,,false
belanden,to end up,B2,verb,Actions and processes,Hoe ben je hier beland?,How did you end up here?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/belanden#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/6218885) and CK (English, https://tatoeba.org/en/sentences/show/1885930); CC BY 2.0 FR.",B2;production,,,,regular,false,zijn,beland,,,,false
belemmeren,to hinder,B2,verb,Actions and processes,De werkzaamheden belemmeren de toegang tot de winkel.,The roadworks obstruct access to the shop.,,B2;production,,,,regular,false,hebben,belemmerd,,,,false
beluisteren,to listen to,B2,verb,Actions and processes,Laten we dat lied nog een keer beluisteren.,Let's listen to that song again.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/beluisteren#Dutch. Example: Raizin (Dutch, https://tatoeba.org/en/sentences/show/4578384) and CK (English, https://tatoeba.org/en/sentences/show/2007337); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,beluisterd,,,,false
bergen,to salvage; to recover,B2,verb,Actions and processes,De hulpdiensten proberen de gezonken boot te bergen.,The emergency services are trying to recover the sunken boat.,,B2;production,,,,irregular,false,hebben,geborgen,,,,false
bespelen,to play,B2,verb,Actions and processes,Tom leert de piccolo te bespelen.,Tom is learning how to play the piccolo.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bespelen#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8301334) and CK (English, https://tatoeba.org/en/sentences/show/1024973); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,bespeeld,,,,false
bestrijden,"to combat, suppress, fight against",B2,verb,Actions and processes,De arbeiders verenigden zich om te gaan staken en het bedrijf te bestrijden.,The workers banded together to go on strike and fight the company.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bestrijden#Dutch. Example: Elsofie (Dutch, https://tatoeba.org/en/sentences/show/8284350) and ulyssemc1 (English, https://tatoeba.org/en/sentences/show/690917); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,bestreden,,,,false
betreden,"to enter, to come in",B2,verb,Actions and processes,Hoe durf je mijn huis te betreden zonder toestemming!,How dare you enter my house without permission!,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/betreden#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/5802705) and CK (English, https://tatoeba.org/en/sentences/show/5800820); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,betreden,,,,false
betreuren,"to regret, to grieve over",B2,verb,Actions and processes,Je vrienden zullen je afwezigheid betreuren.,Your friends will regret your absence.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/betreuren#Dutch. Example: Mandalay (Dutch, https://tatoeba.org/en/sentences/show/6062895) and mailohilohi (English, https://tatoeba.org/en/sentences/show/6051475); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,betreurd,,,,false
bevallen,to give birth,B2,verb,Actions and processes,Mary is niet van plan om van meer dan twee kinderen te bevallen.,Mary intends not to give birth to more than two children.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bevallen#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/6283956) and carlosalberto (English, https://tatoeba.org/en/sentences/show/6168770); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,bevallen,,,,false
bevriezen,to freeze,B2,verb,Actions and processes,Bij deze temperatuur kan het water bevriezen.,"At this temperature, the water can freeze.",,B2;production,,,,irregular,false,hebben / zijn,bevroren,,,,false
bewaken,to guard; to monitor,B2,verb,Actions and processes,Een medewerker bewaakt 's nachts het gebouw.,An employee guards the building at night.,,B2;production,,,,regular,false,hebben,bewaakt,,,,false
bewerken,"to edit, to rework",B2,verb,Actions and processes,Om een zin te bewerken klik je op het potlood-icoon.,"To edit a sentence, click on the pencil icon.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bewerken#Dutch. Example: SunnyMoon (Dutch, https://tatoeba.org/en/sentences/show/11223338) and CK (English, https://tatoeba.org/en/sentences/show/4631941); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,bewerkt,,,,false
bewonderen,to admire,B2,verb,Actions and processes,Toekomstige generaties zullen je standbeeld bewonderen.,Future generations will admire your statue.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bewonderen#Dutch. Example: marcelostockle (Dutch, https://tatoeba.org/en/sentences/show/2825842) and marcelostockle (English, https://tatoeba.org/en/sentences/show/2825844); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,bewonderd,,,,false
bezichtigen,"to sightsee, to view",B2,verb,Actions and processes,"De steen van Rosette kan worden bezichtigd in het British Museum in Londen, waar hij al sinds 1802 wordt bewaard.","The Rosetta stone can be viewed at the British Museum in London, where it has been kept ever since 1802.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bezichtigen#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,regular,false,hebben,bezichtigd,,,,false
bidden,to pray,B2,verb,Actions and processes,Ze zoekt een rustige plek om te bidden.,She is looking for a quiet place to pray.,,B2;production,,,,irregular,false,hebben,gebeden,,,,false
bijkomen,"to recuperate, to recover, to catch one's breath",B2,verb,Actions and processes,Het was afgelopen week erg druk. Jullie moeten in het weekend even bijkomen.,It was a very busy week. You need some time to recover over the weekend.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bijkomen#Dutch. Example: kiryopi (Dutch, https://tatoeba.org/en/sentences/show/13408213) and kiryopi (English, https://tatoeba.org/en/sentences/show/13408214); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,bijgekomen,,,,false
bijten,to bite,B2,verb,Actions and processes,We zijn geneigd te denken dat de meeste honden bijten.,We are inclined to think that most dogs bite.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bijten#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/7028017) and CK (English, https://tatoeba.org/en/sentences/show/23152); CC BY 2.0 FR.",B2;production,,,,irregular,false,hebben,gebeten,,,,false
binnenvallen,to invade; to enter suddenly,B2,verb,Actions and processes,Tijdens het overleg viel er onverwacht iemand binnen.,Someone unexpectedly came in during the meeting.,,B2;production,,,,irregular,true,hebben,binnengevallen,,,,false
bladeren,to leaf through,B2,verb,Actions and processes,Ik wil even door de catalogus bladeren.,I want to leaf through the catalogue for a moment.,,B2;production,,,,regular,false,hebben,gebladerd,,,,false
blazen,to blow,B2,verb,Actions and processes,De wind blaast hard door de straat.,The wind blows strongly through the street.,,B2;production,,,,irregular,false,hebben,geblazen,,,,false
bloeien,"to blossom, to bear flowers",B2,verb,Actions and processes,Deze bloemen beginnen in het voorjaar te bloeien.,These flowers start blooming in spring.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/bloeien#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/7295573) and megamanenm (English, https://tatoeba.org/en/sentences/show/11516547); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gebloeid,,,,false
blussen,"to extinguish, to put out",B2,verb,Actions and processes,De brandweermannen hebben het vuur in een oogwenk geblust.,The firefighters put out the fire in the blink of an eye.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/blussen#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/8857381) and FeuDRenais2 (English, https://tatoeba.org/en/sentences/show/542382); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,geblust,,,,false
boksen,"to box, to play boxing",B2,verb,Actions and processes,"Tom wil leren boksen, maar zijn moeder vindt het te gevaarlijk.","Tom wants to learn boxing, but his mother thinks it's too dangerous.","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/boksen#Dutch. Example: rose_d (Dutch, https://tatoeba.org/en/sentences/show/10637979) and Spamster (English, https://tatoeba.org/en/sentences/show/1394960); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gebokst,,,,false
boren,to drill,B2,verb,Actions and processes,Boor voorzichtig een gat in de muur.,Carefully drill a hole in the wall.,,B2;production,,,,regular,false,hebben,geboord,,,,false
breien,to knit,B2,verb,Actions and processes,Mijn oma heeft deze trui voor me gebreid.,My grandmother knit me this sweater.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/breien#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/9705230) and megamanenm (English, https://tatoeba.org/en/sentences/show/9705224); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gebreid,,,,false
chatten,to chat,B2,verb,Actions and processes,Sami ging gelijk naar zijn computer om te chatten.,Sami went straight to his computer to chat.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/chatten#Dutch. Example: meshbags (Dutch, https://tatoeba.org/en/sentences/show/9142181) and OsoHombre (English, https://tatoeba.org/en/sentences/show/6129261); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gechat,,,,false
checken,"to check, to inspect, examine",B2,verb,Actions and processes,Kan ik je computer gebruiken om mijn e-mail te checken?,Can I use your computer to check my e-mail?,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/checken#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/10714908) and Hybrid (English, https://tatoeba.org/en/sentences/show/3301952); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gecheckt,,,,false
concurreren,to compete,B2,verb,Actions and processes,Ze zeggen dat ze niet kunnen concurreren met goedkope buitenlandse producten.,They say they can't compete with low-priced foreign products.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/concurreren#Dutch. Example: doemaar14 (Dutch, https://tatoeba.org/en/sentences/show/12300966) and CK (English, https://tatoeba.org/en/sentences/show/6873350); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,geconcurreerd,,,,false
consumeren,"to consume, to use",B2,verb,Actions and processes,Het is verstandig om niet te veel suikerhoudende drankjes te consumeren.,It is wise not to consume too many sugary drinks.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/consumeren#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,regular,false,hebben,geconsumeerd,,,,false
definiëren,to define,B2,verb,Actions and processes,"Dienen alleen artsen te definiëren wat normaal is en wat niet als het om gedachten, gevoelens en gedrag gaat?","Should it be only doctors who define what is normal and what is not when it comes to thoughts, feelings, and behaviors?","Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/defini%C3%ABren#Dutch. Example: Nylez (Dutch, https://tatoeba.org/en/sentences/show/9088747) and mccarras (English, https://tatoeba.org/en/sentences/show/9026018); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gedefinieerd,,,,false
dekken,to set,B2,verb,Actions and processes,Het kostte Mary maar een paar minuten om de tafel te dekken.,It only took Mary a few minutes to set the table.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/dekken#Dutch. Example: Citrine (Dutch, https://tatoeba.org/en/sentences/show/3037298) and sharptoothed (English, https://tatoeba.org/en/sentences/show/3022508); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gedekt,,,,false
dineren,"to dine, to have dinner",B2,verb,Actions and processes,Ik wil in een restaurant dineren.,I wanna have dinner in a restaurant.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/dineren#Dutch. Example: Micsmithel (Dutch, https://tatoeba.org/en/sentences/show/7264141) and peipei (English, https://tatoeba.org/en/sentences/show/452580); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gedineerd,,,,false
doden,to kill,B2,verb,Actions and processes,Het is een uitstekende manier om de tijd te doden.,It is an outstanding way to kill time.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/doden#Dutch. Example: Nylez (Dutch, https://tatoeba.org/en/sentences/show/9209042) and SunnyMoon (English, https://tatoeba.org/en/sentences/show/11213577); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gedood,,,,false
domineren,to dominate,B2,verb,Actions and processes,Yanni wil de competitie domineren.,Yanni wants to dominate the competition.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/domineren#Dutch. Example: MarijnKp (Dutch, https://tatoeba.org/en/sentences/show/10016029) and Amastan (English, https://tatoeba.org/en/sentences/show/9759508); CC BY 2.0 FR.",B2;production,,,,regular,false,hebben,gedomineerd,,,,false
doodgaan,to die,B2,verb,Actions and processes,We willen niet dat er nog meer mensen doodgaan.,We don't want any more people to die.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/doodgaan#Dutch. Example: megamanenm (Dutch, https://tatoeba.org/en/sentences/show/12333246) and CK (English, https://tatoeba.org/en/sentences/show/9681889); CC BY 2.0 FR.",B2;production,,,,irregular,true,zijn,doodgegaan,,,,false
doorbreken,"to break, break through, break in half",B2,verb,Actions and processes,Zij probeerden het vijandelijk front te doorbreken.,They attempted to break through the enemy line.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/doorbreken#Dutch. Example: martinod (Dutch, https://tatoeba.org/en/sentences/show/691027) and CK (English, https://tatoeba.org/en/sentences/show/307213); CC BY 2.0 FR.",B2;production,,,,irregular,true,hebben,doorgebroken,,,,false
doorstaan,"to endure, to weather, to withstand",B2,verb,Actions and processes,Veel van de dichtkunst van de oude Grieken heeft de tand des tijds doorstaan.,Much of the poetry of the ancient Greeks has withstood the test of time.,"Definition adapted from Wiktionary contributors, CC BY-SA 4.0: https://en.wiktionary.org/wiki/doorstaan#Dutch. Example from the same Wiktionary entry (CC BY-SA 4.0).",B2;production,,,,irregular,false,hebben,doorstaan,,,,false
