dutch,english,cefr_level,word_type,topic,example_dutch,example_english,notes,tags,article,plural,diminutive,regularity,separable,auxiliary,past_participle,inflected,comparative,superlative,is_sample
toilet,toilet,A1,noun,At home,Waar is het toilet?,Where is the toilet?,,,het,toiletten,,,,,,,,,false
tuin,garden,A1,noun,At home,We zitten in de tuin.,We are sitting in the garden.,,,de,tuinen,,,,,,,,,false
sleutel,key,A1,noun,At home,Ik zoek mijn sleutel.,I am looking for my key.,,,de,sleutels,,,,,,,,,false
trap,stairs,A1,noun,At home,De trap is smal.,The stairs are narrow.,,,de,trappen,,,,,,,,,false
adres,address,A1,noun,At home,Schrijf hier je adres.,Write your address here.,,,het,adressen,,,,,,,,,false
telefoon,telephone,A1,noun,At home,Mijn telefoon ligt hier.,My phone is here.,,,de,telefoons,,,,,,,,,false
bord,plate,A1,noun,Meals and kitchen,Mijn bord is leeg.,My plate is empty.,,,het,borden,,,,,,,,,false
kop,cup,A1,noun,Meals and kitchen,Wil je een kop thee?,Would you like a cup of tea?,"Cup in this example. Also head (especially of an animal), depending on context.",,de,koppen,,,,,,,,,false
glas,drinking glass,A1,noun,Meals and kitchen,Mag ik een glas water?,May I have a glass of water?,,,het,glazen,,,,,,,,,false
mes,knife,A1,noun,Meals and kitchen,Het mes ligt naast het bord.,The knife is beside the plate.,,,het,messen,,,,,,,,,false
vork,fork,A1,noun,Meals and kitchen,Ik eet met een vork.,I eat with a fork.,,,de,vorken,,,,,,,,,false
lepel,spoon,A1,noun,Meals and kitchen,Neem een lepel voor de soep.,Take a spoon for the soup.,,,de,lepels,,,,,,,,,false
pan,pan,A1,noun,Meals and kitchen,De soep zit in de pan.,The soup is in the pan.,,,de,pannen,,,,,,,,,false
fles,bottle,A1,noun,Meals and kitchen,Deze fles is leeg.,This bottle is empty.,,,de,flessen,,,,,,,,,false
brood,bread,A1,noun,Meals and kitchen,Ik koop een brood.,I am buying a loaf of bread.,,,het,broden,,,,,,,,,false
kaas,cheese,A1,noun,Meals and kitchen,Wil je kaas op je brood?,Would you like cheese on your bread?,,,de,kazen,,,,,,,,,false
ei,egg,A1,noun,Meals and kitchen,Ik kook een ei.,I am boiling an egg.,,,het,eieren,,,,,,,,,false
vlees,meat,A1,noun,Meals and kitchen,Ik eet geen vlees.,I do not eat meat.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
vis,fish,A1,noun,Meals and kitchen,We eten vandaag vis.,We are eating fish today.,,,de,vissen,,,,,,,,,false
rijst,rice,A1,noun,Meals and kitchen,De rijst is klaar.,The rice is ready.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
soep,soup,A1,noun,Meals and kitchen,Deze soep is warm.,This soup is warm.,,,de,soepen,,,,,,,,,false
melk,milk,A1,noun,Meals and kitchen,Drink je melk?,Do you drink milk?,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
water,water,A1,noun,Meals and kitchen,Ik drink graag water.,I like drinking water.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
koffie,coffee,A1,noun,Meals and kitchen,De koffie is heet.,The coffee is hot.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
thee,tea,A1,noun,Meals and kitchen,Ik wil thee zonder suiker.,I would like tea without sugar.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
sap,juice,A1,noun,Meals and kitchen,Er zit sap in de fles.,There is juice in the bottle.,,,het,sappen,,,,,,,,,false
appel,apple,A1,noun,Food and shopping,Ik eet een rode appel.,I am eating a red apple.,,,de,appels,,,,,,,,,false
peer,pear,A1,noun,Food and shopping,Deze peer is zoet.,This pear is sweet.,,,de,peren,,,,,,,,,false
banaan,banana,A1,noun,Food and shopping,Neem een banaan mee.,Take a banana with you.,,,de,bananen,,,,,,,,,false
sinaasappel,orange,A1,noun,Food and shopping,Ik koop een sinaasappel.,I am buying an orange.,,,de,sinaasappels,,,,,,,,,false
tomaat,tomato,A1,noun,Food and shopping,Snijd de tomaat klein.,Cut the tomato into small pieces.,,,de,tomaten,,,,,,,,,false
aardappel,potato,A1,noun,Food and shopping,Deze aardappel is nog hard.,This potato is still hard.,,,de,aardappelen,,,,,,,,,false
ui,onion,A1,noun,Food and shopping,Er zit een ui in de soep.,There is an onion in the soup.,,,de,uien,,,,,,,,,false
groente,vegetable,A1,noun,Food and shopping,Welke groente lust je?,Which vegetable do you like?,,,de,groenten,,,,,,,,,false
fruit,fruit,A1,noun,Food and shopping,We eten elke dag fruit.,We eat fruit every day.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
suiker,sugar,A1,noun,Food and shopping,Wil je suiker in je thee?,Would you like sugar in your tea?,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
zout,salt,A1,noun,Food and shopping,Er zit te veel zout in.,There is too much salt in it.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
boter,butter,A1,noun,Food and shopping,De boter staat in de koelkast.,The butter is in the fridge.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
ontbijt,breakfast,A1,noun,Food and shopping,Het ontbijt staat klaar.,Breakfast is ready.,,,het,ontbijten,,,,,,,,,false
lunch,lunch,A1,noun,Food and shopping,We eten samen lunch.,We are having lunch together.,,,de,lunches,,,,,,,,,false
maaltijd,meal,A1,noun,Food and shopping,We eten samen een warme maaltijd.,We are having a hot meal together.,,,de,maaltijden,,,,,,,,,false
winkel,shop,A1,noun,Food and shopping,De winkel gaat om negen uur open.,The shop opens at nine.,,,de,winkels,,,,,,,,,false
supermarkt,supermarket,A1,noun,Food and shopping,Ik loop naar de supermarkt.,I am walking to the supermarket.,,,de,supermarkten,,,,,,,,,false
geld,money,A1,noun,Food and shopping,Ik heb geen geld bij me.,I have no money with me.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
prijs,price,A1,noun,Food and shopping,Wat is de prijs?,What is the price?,,,de,prijzen,,,,,,,,,false
euro,euro,A1,noun,Food and shopping,Dit kost één euro.,This costs one euro.,,,de,euro's,,,,,,,,,false
dag,day,A1,noun,Time,Een dag heeft vierentwintig uur.,A day has twenty-four hours.,,,de,dagen,,,,,,,,,false
week,week,A1,noun,Time,Ik werk vier dagen per week.,I work four days a week.,,,de,weken,,,,,,,,,false
maand,month,A1,noun,Time,Deze maand ben ik jarig.,It is my birthday this month.,,,de,maanden,,,,,,,,,false
jaar,year,A1,noun,Time,Zij is twintig jaar.,She is twenty years old.,,,het,jaren,,,,,,,,,false
uur,hour / o'clock,A1,noun,Time,Het is acht uur.,It is eight o'clock.,,,het,uren,,,,,,,,,false
minuut,minute,A1,noun,Time,Wacht één minuut.,Wait one minute.,,,de,minuten,,,,,,,,,false
tijd,time,A1,noun,Time,Heb je even tijd?,Do you have a moment?,,,de,tijden,,,,,,,,,false
ochtend,morning,A1,noun,Time,In de ochtend drink ik thee.,In the morning I drink tea.,,,de,ochtenden,,,,,,,,,false
middag,afternoon,A1,noun,Time,In de middag ben ik thuis.,In the afternoon I am at home.,,,de,middagen,,,,,,,,,false
avond,evening,A1,noun,Time,We eten in de avond.,We eat in the evening.,,,de,avonden,,,,,,,,,false
nacht,night,A1,noun,Time,Het is een koude nacht.,It is a cold night.,,,de,nachten,,,,,,,,,false
maandag,Monday,A1,noun,Time,Op maandag werk ik thuis.,On Monday I work at home.,,,de,maandagen,,,,,,,,,false
dinsdag,Tuesday,A1,noun,Time,De les is op dinsdag.,The lesson is on Tuesday.,,,de,dinsdagen,,,,,,,,,false
woensdag,Wednesday,A1,noun,Time,Woensdag ga ik zwemmen.,On Wednesday I am going swimming.,,,de,woensdagen,,,,,,,,,false
donderdag,Thursday,A1,noun,Time,Tot donderdag!,See you on Thursday!,,,de,donderdagen,,,,,,,,,false
vrijdag,Friday,A1,noun,Time,Vrijdag ben ik vrij.,I am off on Friday.,,,de,vrijdagen,,,,,,,,,false
zaterdag,Saturday,A1,noun,Time,Op zaterdag doe ik boodschappen.,On Saturday I do the shopping.,,,de,zaterdagen,,,,,,,,,false
zondag,Sunday,A1,noun,Time,Zondag bezoeken we oma.,On Sunday we are visiting Grandma.,,,de,zondagen,,,,,,,,,false
weekend,weekend,A1,noun,Time,Wat doe je dit weekend?,What are you doing this weekend?,,,het,weekenden,,,,,,,,,false
verjaardag,birthday,A1,noun,Time,Vandaag is mijn verjaardag.,Today is my birthday.,,,de,verjaardagen,,,,,,,,,false
auto,car,A1,noun,Transport,Onze auto is blauw.,Our car is blue.,,,de,auto's,,,,,,,,,false
fiets,bicycle,A1,noun,Transport,Mijn fiets staat buiten.,My bicycle is outside.,,,de,fietsen,,,,,,,,,false
bus,bus,A1,noun,Transport,De bus komt zo.,The bus will be here soon.,,,de,bussen,,,,,,,,,false
trein,train,A1,noun,Transport,We nemen de trein.,We are taking the train.,,,de,treinen,,,,,,,,,false
tram,tram,A1,noun,Transport,De tram stopt hier.,The tram stops here.,,,de,trams,,,,,,,,,false
metro,metro,A1,noun,Transport,Ik ga met de metro.,I am taking the metro.,,,de,metro's,,,,,,,,,false
vliegtuig,aeroplane,A1,noun,Transport,Het vliegtuig is groot.,The aeroplane is big.,,,het,vliegtuigen,,,,,,,,,false
boot,boat,A1,noun,Transport,We zitten in een boot.,We are in a boat.,,,de,boten,,,,,,,,,false
station,station,A1,noun,Transport,Het station is dichtbij.,The station is nearby.,,,het,stations,,,,,,,,,false
halte,stop (public transport),A1,noun,Transport,Ik wacht bij de halte.,I am waiting at the stop.,,,de,haltes,,,,,,,,,false
kaartje,ticket,A1,noun,Transport,Koop eerst een kaartje.,Buy a ticket first.,Ticket is an independent conventional meaning; not counted just as an inflection of kaart.,,het,kaartjes,,,,,,,,,false
straat,street,A1,noun,Transport,Ik woon in deze straat.,I live on this street.,,,de,straten,,,,,,,,,false
weg,road,A1,noun,Transport,Deze weg gaat naar zee.,This road leads to the sea.,,,de,wegen,,,,,,,,,false
plein,square,A1,noun,Transport,Er staan bomen op het plein.,There are trees in the square.,,,het,pleinen,,,,,,,,,false
brug,bridge,A1,noun,Transport,We lopen over de brug.,We are walking across the bridge.,,,de,bruggen,,,,,,,,,false
reis,journey,A1,noun,Transport,De reis duurt twee uur.,The journey takes two hours.,,,de,reizen,,,,,,,,,false
vakantie,holiday,A1,noun,Transport,Wij gaan morgen op vakantie.,We are going on holiday tomorrow.,,,de,vakanties,,,,,,,,,false
hotel,hotel,A1,noun,Transport,Ons hotel ligt aan zee.,Our hotel is by the sea.,,,het,hotels,,,,,,,,,false
paspoort,passport,A1,noun,Transport,Hier is mijn paspoort.,Here is my passport.,,,het,paspoorten,,,,,,,,,false
koffer,suitcase,A1,noun,Transport,Mijn koffer is zwaar.,My suitcase is heavy.,,,de,koffers,,,,,,,,,false
stad,city,A1,noun,Places and nature,Deze stad is mooi.,This city is beautiful.,,,de,steden,,,,,,,,,false
dorp,village,A1,noun,Places and nature,Mijn oma woont in een dorp.,My grandma lives in a village.,,,het,dorpen,,,,,,,,,false
land,country,A1,noun,Places and nature,Uit welk land kom je?,Which country are you from?,,,het,landen,,,,,,,,,false
park,park,A1,noun,Places and nature,We wandelen in het park.,We are walking in the park.,,,het,parken,,,,,,,,,false
school,school,A1,noun,Places and nature,De school is naast het park.,The school is next to the park.,,,de,scholen,,,,,,,,,false
restaurant,restaurant,A1,noun,Places and nature,Dit restaurant is goedkoop.,This restaurant is inexpensive.,,,het,restaurants,,,,,,,,,false
café,café / bar,A1,noun,Places and nature,We drinken koffie in het café.,We are having coffee in the café.,,,het,cafés,,,,,,,,,false
bibliotheek,library,A1,noun,Places and nature,Ik leen een boek bij de bibliotheek.,I am borrowing a book from the library.,,,de,bibliotheken,,,,,,,,,false
ziekenhuis,hospital,A1,noun,Places and nature,Hij werkt in het ziekenhuis.,He works in the hospital.,,,het,ziekenhuizen,,,,,,,,,false
apotheek,pharmacy,A1,noun,Places and nature,De apotheek is vandaag open.,The pharmacy is open today.,,,de,apotheken,,,,,,,,,false
markt,market,A1,noun,Places and nature,We kopen fruit op de markt.,We buy fruit at the market.,,,de,markten,,,,,,,,,false
strand,beach,A1,noun,Places and nature,De kinderen spelen op het strand.,The children are playing on the beach.,,,het,stranden,,,,,,,,,false
zee,sea,A1,noun,Places and nature,De zee is koud.,The sea is cold.,,,de,zeeën,,,,,,,,,false
boom,tree,A1,noun,Places and nature,Er staat een boom voor het huis.,There is a tree in front of the house.,,,de,bomen,,,,,,,,,false
bloem,flower,A1,noun,Places and nature,Deze bloem is geel.,This flower is yellow.,,,de,bloemen,,,,,,,,,false
dier,animal,A1,noun,Places and nature,Welk dier vind je leuk?,Which animal do you like?,,,het,dieren,,,,,,,,,false
hond,dog,A1,noun,Places and nature,De hond loopt met me mee.,The dog is walking with me.,,,de,honden,,,,,,,,,false
kat,cat,A1,noun,Places and nature,De kat slaapt op de bank.,The cat is sleeping on the sofa.,,,de,katten,,,,,,,,,false
vogel,bird,A1,noun,Places and nature,Een vogel zit in de boom.,A bird is sitting in the tree.,,,de,vogels,,,,,,,,,false
paard,horse,A1,noun,Places and nature,Het paard eet gras.,The horse is eating grass.,,,het,paarden,,,,,,,,,false
werk,work,A1,noun,Work and learning,Mijn werk begint om negen uur.,My work starts at nine.,Normally used without a plural in this meaning.,,het,,,,,,,,,,false
baan,job,A1,noun,Work and learning,Ik zoek een nieuwe baan.,I am looking for a new job.,,,de,banen,,,,,,,,,false
kantoor,office,A1,noun,Work and learning,Het kantoor is op de eerste verdieping.,The office is on the first floor.,,,het,kantoren,,,,,,,,,false
collega,colleague,A1,noun,Work and learning,Mijn collega helpt me.,My colleague is helping me.,,,de,collega's,,,,,,,,,false
leraar,teacher,A1,noun,Work and learning,De leraar legt het uit.,The teacher explains it.,,,de,leraren,,,,,,,,,false
student,student,A1,noun,Work and learning,Zij is student.,She is a student.,,,de,studenten,,,,,,,,,false
les,lesson,A1,noun,Work and learning,De les begint nu.,The lesson starts now.,,,de,lessen,,,,,,,,,false
boek,book,A1,noun,Work and learning,Dit boek is makkelijk.,This book is easy.,,,het,boeken,,,,,,,,,false
schrift,exercise book,A1,noun,Work and learning,Ik schrijf in mijn schrift.,I am writing in my exercise book.,,,het,schriften,,,,,,,,,false
pen,pen,A1,noun,Work and learning,Mag ik je pen lenen?,May I borrow your pen?,,,de,pennen,,,,,,,,,false
potlood,pencil,A1,noun,Work and learning,Ik teken met een potlood.,I draw with a pencil.,,,het,potloden,,,,,,,,,false
papier,paper,A1,noun,Work and learning,Schrijf het op papier.,Write it on paper.,,,het,papieren,,,,,,,,,false
woord,word,A1,noun,Work and learning,Wat betekent dit woord?,What does this word mean?,,,het,woorden,,,,,,,,,false
zin,sentence,A1,noun,Work and learning,Lees deze zin hardop.,Read this sentence aloud.,,,de,zinnen,,,,,,,,,false
taal,language,A1,noun,Work and learning,Welke taal spreek je?,Which language do you speak?,,,de,talen,,,,,,,,,false
vraag,question,A1,noun,Work and learning,Ik heb een vraag.,I have a question.,,,de,vragen,,,,,,,,,false
antwoord,answer,A1,noun,Work and learning,Het antwoord is goed.,The answer is correct.,,,het,antwoorden,,,,,,,,,false
computer,computer,A1,noun,Work and learning,Mijn computer staat aan.,My computer is on.,,,de,computers,,,,,,,,,false
brief,letter,A1,noun,Work and learning,Ik krijg een brief.,I receive a letter.,,,de,brieven,,,,,,,,,false
afspraak,appointment,A1,noun,Work and learning,Ik heb morgen een afspraak.,I have an appointment tomorrow.,,,de,afspraken,,,,,,,,,false
jas,coat,A1,noun,Clothing and belongings,Trek je jas aan.,Put your coat on.,,,de,jassen,,,,,,,,,false
broek,trousers,A1,noun,Clothing and belongings,Mijn broek is zwart.,My trousers are black.,,,de,broeken,,,,,,,,,false
jurk,dress,A1,noun,Clothing and belongings,Zij draagt een rode jurk.,She is wearing a red dress.,,,de,jurken,,,,,,,,,false
rok,skirt,A1,noun,Clothing and belongings,Deze rok is lang.,This skirt is long.,,,de,rokken,,,,,,,,,false
trui,jumper,A1,noun,Clothing and belongings,Die trui is warm.,That jumper is warm.,,,de,truien,,,,,,,,,false
shirt,shirt,A1,noun,Clothing and belongings,Ik koop een wit shirt.,I am buying a white shirt.,,,het,shirts,,,,,,,,,false
schoen,shoe,A1,noun,Clothing and belongings,Deze schoen is te klein.,This shoe is too small.,,,de,schoenen,,,,,,,,,false
sok,sock,A1,noun,Clothing and belongings,Ik mis één sok.,I am missing one sock.,,,de,sokken,,,,,,,,,false
hoed,hat,A1,noun,Clothing and belongings,Hij draagt een hoed.,He is wearing a hat.,,,de,hoeden,,,,,,,,,false
bril,glasses,A1,noun,Clothing and belongings,Waar ligt mijn bril?,Where are my glasses?,,,de,brillen,,,,,,,,,false
tas,bag,A1,noun,Clothing and belongings,Mijn tas is vol.,My bag is full.,,,de,tassen,,,,,,,,,false
portemonnee,wallet,A1,noun,Clothing and belongings,Mijn geld zit in mijn portemonnee.,My money is in my wallet.,,,de,portemonnees,,,,,,,,,false
horloge,watch,A1,noun,Clothing and belongings,Dit horloge is van mij.,This watch is mine.,,,het,horloges,,,,,,,,,false
ring,ring,A1,noun,Clothing and belongings,Zij draagt een gouden ring.,She is wearing a gold ring.,,,de,ringen,,,,,,,,,false
paraplu,umbrella,A1,noun,Clothing and belongings,Neem een paraplu mee.,Take an umbrella with you.,,,de,paraplu's,,,,,,,,,false
handdoek,towel,A1,noun,Clothing and belongings,Hier is een schone handdoek.,Here is a clean towel.,,,de,handdoeken,,,,,,,,,false
zeep,soap,A1,noun,Clothing and belongings,Was je handen met zeep.,Wash your hands with soap.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
foto,photo,A1,noun,Clothing and belongings,Dit is een foto van mijn kat.,This is a photo of my cat.,,,de,foto's,,,,,,,,,false
cadeau,present,A1,noun,Clothing and belongings,Ik heb een cadeau voor je.,I have a present for you.,,,het,cadeaus,,,,,,,,,false
kleur,colour,A1,noun,Clothing and belongings,Welke kleur vind je mooi?,Which colour do you like?,,,de,kleuren,,,,,,,,,false
hoofd,head,A1,noun,Body and weather,Mijn hoofd doet pijn.,My head hurts.,,,het,hoofden,,,,,,,,,false
oog,eye,A1,noun,Body and weather,Er zit iets in mijn oog.,There is something in my eye.,,,het,ogen,,,,,,,,,false
oor,ear,A1,noun,Body and weather,Mijn rechteroor doet pijn.,My right ear hurts.,,,het,oren,,,,,,,,,false
neus,nose,A1,noun,Body and weather,Mijn neus is koud.,My nose is cold.,,,de,neuzen,,,,,,,,,false
mond,mouth,A1,noun,Body and weather,Doe je mond open.,Open your mouth.,,,de,monden,,,,,,,,,false
tand,tooth,A1,noun,Body and weather,Deze tand doet pijn.,This tooth hurts.,,,de,tanden,,,,,,,,,false
hand,hand,A1,noun,Body and weather,Geef me je hand.,Give me your hand.,,,de,handen,,,,,,,,,false
arm,arm,A1,noun,Body and weather,Mijn arm is moe.,My arm is tired.,,,de,armen,,,,,,,,,false
been,leg,A1,noun,Body and weather,Ik heb pijn in mijn been.,My leg hurts.,,,het,benen,,,,,,,,,false
voet,foot,A1,noun,Body and weather,Mijn voet past niet in deze schoen.,My foot does not fit in this shoe.,,,de,voeten,,,,,,,,,false
buik,belly,A1,noun,Body and weather,Mijn buik doet pijn.,My belly hurts.,,,de,buiken,,,,,,,,,false
rug,back,A1,noun,Body and weather,Mijn rug doet pijn.,My back hurts.,,,de,ruggen,,,,,,,,,false
dokter,doctor,A1,noun,Body and weather,Ik ga naar de dokter.,I am going to the doctor.,,,de,dokters,,,,,,,,,false
pijn,pain,A1,noun,Body and weather,Heb je pijn?,Are you in pain?,,,de,pijnen,,,,,,,,,false
weer,weather,A1,noun,Body and weather,Het weer is vandaag mooi.,The weather is nice today.,Noun weather. The adverb weer means again; see opnieuw. Counted only once.,,het,,,,,,,,,,false
zon,sun,A1,noun,Body and weather,De zon schijnt.,The sun is shining.,Usually singular when referring to our sun; zonnen is possible for multiple stars/suns.,,de,zonnen,,,,,,,,,false
regen,rain,A1,noun,Body and weather,Ik loop door de regen.,I am walking through the rain.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
wind,wind,A1,noun,Body and weather,Er staat veel wind.,It is very windy.,,,de,winden,,,,,,,,,false
sneeuw,snow,A1,noun,Body and weather,Er ligt sneeuw in de tuin.,There is snow in the garden.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
wolk,cloud,A1,noun,Body and weather,Er is geen wolk te zien.,There is not a cloud in sight.,,,de,wolken,,,,,,,,,false
januari,January,A1,noun,Calendar and leisure,In januari is het koud.,It is cold in January.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,januari's,,,,,,,,,false
februari,February,A1,noun,Calendar and leisure,Mijn cursus begint in februari.,My course starts in February.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,februari's,,,,,,,,,false
maart,March,A1,noun,Calendar and leisure,In maart komen er bloemen.,Flowers appear in March.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,maarten,,,,,,,,,false
april,April,A1,noun,Calendar and leisure,In april gaan we op reis.,We are travelling in April.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,aprillen,,,,,,,,,false
mei,May,A1,noun,Calendar and leisure,In mei bezoek ik mijn zus.,I am visiting my sister in May.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,meien,,,,,,,,,false
juni,June,A1,noun,Calendar and leisure,In juni zijn de dagen lang.,The days are long in June.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,juni's,,,,,,,,,false
juli,July,A1,noun,Calendar and leisure,In juli heb ik vakantie.,I am on holiday in July.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,juli's,,,,,,,,,false
augustus,August,A1,noun,Calendar and leisure,In augustus is de school dicht.,The school is closed in August.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,augustussen,,,,,,,,,false
september,September,A1,noun,Calendar and leisure,In september begint de les.,The class starts in September.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,septembers,,,,,,,,,false
oktober,October,A1,noun,Calendar and leisure,In oktober regent het vaak.,It often rains in October.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,oktobers,,,,,,,,,false
november,November,A1,noun,Calendar and leisure,In november draag ik een jas.,I wear a coat in November.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,novembers,,,,,,,,,false
december,December,A1,noun,Calendar and leisure,In december zijn de dagen kort.,The days are short in December.,Month names are lowercase in Dutch. Normally used without an article; the plural is only for referring to multiple occurrences of that month.,,de,decembers,,,,,,,,,false
muziek,music,A1,noun,Calendar and leisure,Ik luister naar muziek.,I am listening to music.,Normally used without a plural in this meaning.,,de,,,,,,,,,,false
film,film,A1,noun,Calendar and leisure,Deze film is leuk.,This film is fun.,,,de,films,,,,,,,,,false
sport,sport,A1,noun,Calendar and leisure,Welke sport doe je?,Which sport do you do?,,,de,sporten,,,,,,,,,false
spel,game,A1,noun,Calendar and leisure,Dit spel is makkelijk.,This game is easy.,,,het,spellen,,,,,,,,,false
feest,party,A1,noun,Calendar and leisure,Het feest begint om acht uur.,The party starts at eight.,,,het,feesten,,,,,,,,,false
bal,ball,A1,noun,Calendar and leisure,Gooi de bal naar mij.,Throw the ball to me.,,,de,ballen,,,,,,,,,false
zwembad,swimming pool,A1,noun,Calendar and leisure,Het zwembad is vandaag open.,The swimming pool is open today.,,,het,zwembaden,,,,,,,,,false
