lesson_id|cefr_level|sort_order|title|category|main_concept|prerequisites
a1-time-manner-place|A1|22|Adding when, how and where|Word Order|A useful neutral time-manner-place pattern, not an absolute rule|a1-verb-second;a1-place-prepositions;a1-time-prepositions
a1-modals-ability-permission|A1|23|Using kunnen and mogen|Modal Verbs|Ability and permission with a final infinitive|a1-present-regular;a1-yes-no-questions
a1-modals-obligation-wishes|A1|24|Using moeten and willen|Modal Verbs|Obligation, wishes and meaning of niet moeten|a1-modals-ability-permission;a1-negation-niet
a1-separable-present|A1|25|Separating verbs such as opstaan|Separable Verbs|Present main-clause prefix placement, modal contrast|a1-verb-second;a1-modals-obligation-wishes
a1-imperative|A1|26|Giving simple instructions|Verbs|Stem imperatives, separable instructions and polite requests|a1-infinitives-stems;a1-separable-present
a1-coordination|A1|27|Joining ideas with en, maar, of and want|Conjunctions|Coordinate clauses keep their own main-clause order|a1-verb-second;a1-negation-niet
a1-existential-er|A1|28|Introducing things with er is and er zijn|Sentence Structure|Existential er, number agreement and location contrast|a1-present-zijn;a1-articles;a1-noun-plurals;a1-verb-second
a1-perfect-introduction|A1|29|Talking about completed actions|Perfect Tense|Finite auxiliary and final participle, questions and negatives|a1-present-common-irregulars;a1-negation-niet
a1-perfect-regular|A1|30|Making regular past participles|Perfect Tense|Ge-stem-t/d and original v/z spelling|a1-perfect-introduction;a1-infinitives-stems
a1-perfect-common-irregulars|A1|31|Using common irregular participles|Perfect Tense|Common irregular forms and introductory hebben/zijn selection|a1-perfect-regular
a1-perfect-separable|A1|32|Using separable verbs in the perfect|Perfect Tense|Prefix plus ge-participle with common regular and irregular bases|a1-separable-present;a1-perfect-common-irregulars
a2-main-clause-order|A2|33|Placing objects and adverbs|Word Order|Known objects, frequency adverbs and longer sentence brackets|a1-time-manner-place;a1-object-pronouns;a1-perfect-introduction
a2-object-pronoun-order|A2|34|Putting object pronouns in place|Pronouns|Unstressed object placement and practical hen/hun distinction|a2-main-clause-order;a1-object-pronouns
a2-reflexive-verbs|A2|35|Talking about actions involving yourself|Pronouns|Reflexive person forms and everyday reflexive verbs|a2-object-pronoun-order
a2-possessive-extensions|A2|36|Expressing possession without repeating a noun|Possession|Van mij, proper-name possessives and whose questions|a1-possessives;a1-question-words
a2-demonstrative-extensions|A2|37|Using demonstratives on their own|Pronouns|Standalone agreement versus identifying dit/dat zijn|a1-demonstratives;a1-present-zijn
a2-adjective-extensions|A2|38|Handling adjective spelling and exceptions|Adjectives|Inflection spelling, material adjectives and fixed profession phrases|a1-adjective-endings
a2-quantities|A2|39|Expressing amounts and groups|Pronouns|Veel/weinig/genoeg, alle/sommige, elk/ieder agreement|a1-noun-plurals;a1-demonstratives
a2-niet-scope|A2|40|Placing niet in longer sentences|Negation|Whole-clause versus contrastive negation, definite objects and final verbs|a2-main-clause-order;a1-negation-niet
a2-negative-words|A2|41|Using nooit, niemand, niets and nergens|Negation|Negative frequency, people, things and place without extra niet|a2-niet-scope;a2-quantities
a2-not-yet-no-longer|A2|42|Distinguishing nog niet and niet meer|Negation|Not yet versus no longer, including nog geen/geen ... meer|a2-negative-words
a2-omdat|A2|43|Giving a reason with omdat|Conjunctions|Subordinate verb-final pattern contrasted with want|a1-coordination;a1-negation-niet
a2-dat-clauses|A2|44|Reporting an idea with dat|Conjunctions|Content clauses after common verbs, not advanced reported speech|a2-omdat
a2-als-wanneer|A2|45|Using als and wanneer|Conjunctions|Conditions and repeated or future time clauses|a2-dat-clauses
a2-fronted-subclauses|A2|46|Putting a subordinate clause first|Word Order|Whole initial clause fills position one and triggers main-clause inversion|a2-als-wanneer;a1-verb-second
a2-terwijl-voordat|A2|47|Linking actions with terwijl and voordat|Conjunctions|Simultaneous actions and before with clause-ending verbs|a2-fronted-subclauses
a2-perfect-auxiliaries|A2|48|Choosing hebben or zijn by meaning|Perfect Tense|Activity versus directed motion and changes of state|a1-perfect-common-irregulars
a2-participle-prefixes|A2|49|Recognising participles with and without ge-|Perfect Tense|Inseparable prefixes, -eren verbs, spelling and mixed paradigms|a1-perfect-separable;a1-perfect-regular
a2-perfect-subclauses|A2|50|Putting perfect verbs in subordinate clauses|Perfect Tense|Two-verb final groups with both standard auxiliary/participle orders|a2-terwijl-voordat;a2-participle-prefixes
a2-past-zijn-hebben|A2|51|Using was, waren, had and hadden|Past Tense|Simple past states and possession|a1-present-common-irregulars;a1-present-zijn
a2-past-regular|A2|52|Forming the simple past of regular verbs|Past Tense|Weak -te/-de, plural endings and v/z spelling|a2-past-zijn-hebben;a1-perfect-regular
a2-past-irregular|A2|53|Using common irregular simple past forms|Past Tense|Frequent strong/mixed verbs and past modals|a2-past-regular;a1-modals-obligation-wishes
a2-past-choices|A2|54|Choosing a past form in everyday stories|Past Tense|Perfect event focus versus simple-past background, with overlap|a2-past-irregular;a2-perfect-subclauses
a2-nadat|A2|55|Putting completed actions in sequence with nadat|Conjunctions|Perfect subordinate action before a present/future main event|a2-perfect-subclauses;a2-fronted-subclauses
a2-future-plans|A2|56|Talking about plans with the present and gaan|Future|Future time expressions and gaan plus infinitive|a1-modals-ability-permission;a1-verb-second
a2-future-zullen|A2|57|Making offers and predictions with zullen|Future|Present zullen forms, offers and predictions|a2-future-plans
a2-zou|A2|58|Making polite requests and imagining possibilities|Modal Verbs|Zou/zouden with infinitive, polite requests and simple hypothetical conditions|a2-future-zullen;a2-past-irregular;a2-als-wanneer
a2-te-infinitives|A2|59|Using te before an infinitive|Infinitives|Common te-taking verbs contrasted with modals|a1-modals-obligation-wishes
a2-om-te|A2|60|Explaining a purpose with om ... te|Infinitives|Purpose clauses with understood subject and contrast with full clauses|a2-te-infinitives;a2-dat-clauses
a2-separable-clause-forms|A2|61|Keeping separable verbs together or apart|Separable Verbs|Main clause, subordinate clause and te-infinitive contrasts|a2-te-infinitives;a2-omdat;a1-perfect-separable
a2-progressive|A2|62|Saying what is happening right now|Verbs|Aan het plus infinitive and common posture-verb te constructions|a2-te-infinitives;a1-present-zijn
a2-comparatives|A2|63|Comparing two people or things|Comparisons|Comparative spelling, irregular forms, dan and even ... als|a2-adjective-extensions
a2-superlatives|A2|64|Saying which is the biggest or best|Comparisons|Superlative forms, attributive endings and het ...st|a2-comparatives
a2-relative-die-dat|A2|65|Identifying people and things with die and dat|Relative Clauses|Relative antecedent agreement and clause-ending verbs|a1-demonstratives;a2-omdat
a2-indirect-questions|A2|66|Asking questions inside another sentence|Questions|Whether/of and question-word subclauses without direct-question inversion|a1-question-words;a2-dat-clauses
a2-fixed-prepositions|A2|67|Learning verbs with their prepositions|Prepositions|Small useful set of fixed complements and person references|a1-place-prepositions;a2-object-pronoun-order
a2-er-place|A2|68|Referring back to a place with er|Pronouns|Unstressed locative er versus stressed daar and existential use|a1-existential-er;a2-main-clause-order
a2-er-quantity|A2|69|Using er instead of repeating a counted noun|Pronouns|Quantitative er with numerals and understood plural nouns|a2-er-place;a2-quantities
a2-duration|A2|70|Saying how long something has been true|Prepositions|Present with al/sinds, past with geleden and future over|a1-time-prepositions;a2-past-choices
a2-linking-adverbs|A2|71|Connecting ideas with daarom and toch|Conjunctions|Linking adverbs trigger inversion, unlike coordinate connectors|a2-main-clause-order;a2-fronted-subclauses;a1-coordination
a2-something-adjective|A2|72|Saying something nice or nothing special|Adjectives|Iets/niets/wat plus adjective -s and common contrasts|a2-adjective-extensions;a2-negative-words
